"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"l","<U+025B>","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","m","j","<U+025B>","n","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+025B>","k","s","p","l","<U+0254>","a","t","a","t<U+0361>s","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0290>","<U+025B>","<U+0282>","k","a","d<U+0361>z","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","w","a","b","<U+0254>","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","d","u","<U+0290>","<U+0268>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","k<U+02B2>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","n","a","l","i","z","a","t<U+0361>s","j","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","<U+025B>","p","<U+0290>","<U+025B>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+025B>","l","i","m","i","n","a","t<U+0361>s","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","g<U+02B2>","i","n","<U+0254>","<U+0272>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","r","a","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0254>","l","<U+0272>","<U+025B>","j",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+0290>","<U+025B>","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0291>","i","m","n","<U+0254>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","x","r","a","s","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","i","<U+0272>","<U+025B>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","n","a","v","i","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","<U+0272>","<U+025B>","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","p","<U+0254>","k","u","j",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0268>","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","u","<U+0290>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0255>","v","j","<U+025B>","t<U+0361>s","k<U+02B2>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","i","n","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","j","<U+025B>","r","<U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","i","k","t<U+0361>s","<U+0268>","j","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","v","a","r","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","l","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","d","m","j","<U+025B>","r","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0282>","t","<U+0268>","v","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","d","<U+0254>","b","u","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","<U+0290>","u","t<U+0361><U+0255>","i","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","<U+0254>","n","s","<U+025B>","r","v","a","t","<U+0268>","v","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0255>","<U+025B>","r","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+0290>","<U+025B>","w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","b","u","<U+0290>","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","<U+0268>","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","<U+0255>","a","d","w","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","<U+0290>","u","t<U+0361>s","a","j","<U+0254>","n","t<U+0361>s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0290>","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0254>","g","<U+0254>","r","<U+0282>","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","<U+0254>","z","b","i","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","<U+025B>","m","<U+0254>","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","<U+0282>","u","s","t","v","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+0254>","r","<U+0254>","n","t<U+0361><U+0282>","k","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","<U+0272>","i","k","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","a","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","<U+0290>","<U+025B>","l","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","u","<U+0290>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","k","a","<U+0290>","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0254>","d","<U+025B>","j","<U+0290>","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","r","a","s","t","<U+0268>","t<U+0361><U+0282>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","<U+0254>","r","t","u","r","<U+0254>","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","s","k","a","<U+0290><U+0307>","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0268>","m","j","<U+0254>","t","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","<U+0282>","k","<U+0254>","d","<U+0254>","v","a","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","v","<U+0268>","d","<U+0254>","l","n","<U+0254>","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","<U+0254>","g<U+02B2>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","k","r","u","t<U+0361><U+0255>","<U+025B>","<U+0272>","s","t","v","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","p","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0254>~","v","u","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","b","u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0254>","t","v","u","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","w","a","b","<U+0282>","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","m","<U+0254>","<U+0290>","l","i","v","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0291>","<U+025B>","t<U+0361><U+0255>","<U+025B>","n","t<U+0361>s","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0268>","k","r","<U+025B>","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","j","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","u","d","n","<U+0254>","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","m","<U+0254>","<U+0290>","n","<U+0254>","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","i","t<U+0361><U+0255>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","<U+0268>","v","a","l","i","z","<U+0254>","v","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0282>","k","<U+0254>","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","<U+0254>","z","w","a","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","b","a","l","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","b","r","<U+0254>","d","<U+0272>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","<U+0254>","m","a","d<U+0361><U+0291>","i","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0268>","w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","s","k","a","<U+0290><U+0307>","a","j","<U+0254>","n","t<U+0361>s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","p","a","r","t","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","p","u","<U+0282>","t<U+0361><U+0282>","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","g","w","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","l","<U+0254>","k","a","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","w","u","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0254>","k","r","<U+0268>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","v","<U+0290>","<U+0268>","t","k<U+02B2>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","t","r","u","d","<U+0272>","<U+0254>","n","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","x","<U+0268>","l","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","s","t","<U+0290>","<U+025B>","<U+0290>","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","j","g","<U+0254>","r","<U+0282>","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","g","r","a","<U+0272>","i","t<U+0361><U+0282>","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","p","<U+0254>","r","<U+0254>","z","u","m","j","<U+025B>","<U+0272>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","a","g","<U+025B>","d","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","l","s","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","i","n","n","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","<U+0254>","a","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","u","z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0290>","a","r","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","m","<U+0254>","t","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","<U+0254>","p","a","g","a","n","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","v","<U+0254>","w","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0290>","<U+025B>","p","r","a","<U+0282>","a","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0255>","v","i","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","n","<U+0254>","v","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l","a","r","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","p","a","d","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","m","a","x","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0290>","<U+025B>","t<U+0361><U+0255>","<U+025B>","n","t","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","<U+0254>","m","b","j","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","<U+0272>","<U+025B>","t<U+0361><U+0282>","<U+0268>","<U+0282>","t<U+0361><U+0282>","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+025B>","<U+014B>","k","<U+0272>","<U+025B>","n","t<U+0361><U+0255>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","d","<U+0290>","u","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","p","a","n","<U+0254>","v","a","n","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","r","a","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","v","<U+0254>","l","<U+0272>","i","t<U+0361>s","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","r","<U+025B>","g","u","l","a","r","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0268>","p","<U+0254>","v","j","<U+025B>","d<U+0361><U+0291>","<U+025B>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","<U+0254>","z","p","a","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0254>","z","b","a","v","j","<U+025B>","<U+0272>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","b","a","l","i","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","s","a","k","r","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","g","r","<U+025B>","s","<U+0268>","v","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","d","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0290>","a","w","<U+0254>","b","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0268>","b","u","x","<U+0254>","v","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","j","g","<U+0254>","r","<U+0282>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","t<U+0361><U+0255>","<U+025B>","k","a","j","<U+0254>","n","t<U+0361>s","<U+0268>","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","<U+0268>","t","<U+0268>","k","<U+0254>","v","a","n","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","u","b","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","b","u","j","t<U+0361>s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0290>","<U+025B>","l","a","z","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","p","r","a","v","i","d","w","<U+0254>","v","<U+0254>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","j","a","m","<U+025B>","t","r","a","l","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","k","a","r","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","<U+0254>","s","<U+0254>","v","<U+0254>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","<U+0254>","k","r","<U+025B>","<U+0255>","l","<U+0254>","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","r","<U+0254>","g","<U+0254>","<U+0255>","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","t","<U+0268>","r","<U+0268>","t<U+0361><U+0282>","n","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","<U+0272>","<U+025B>","d","b","a","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","<U+025B>","r","v","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","<U+0254>","<U+0282>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+025B>~","s","t","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","k","t","<U+0268>","k","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","d","<U+0254>","s","t","<U+025B>","m","p","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+025B>","r","r","<U+0254>","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","p","<U+0254>","v","<U+0254>","d<U+0361>z","<U+025B>","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"j","a","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","x","a","m","<U+0254>","v","a","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0268>","t","v","a","<U+0290>","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","u","j","<U+0254>","n","t<U+0361>s","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","s","k","<U+0254>","t<U+0361><U+0282>","<U+0254>","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","l","<U+0254>","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","b","<U+0290>","<U+025B>","<U+014B>","k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","r","<U+0254>","m","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","<U+0254>","r","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","r","<U+0254>","g","<U+0254>","v","j","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","u","t","r","<U+0254>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","j","a","b","<U+025B>","w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","j","<U+0254>~","z","a","n","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","p","l","i","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","u","d","n","<U+0254>","<U+0255>","t<U+0361><U+0255>","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","w","<U+025B>","n","d","a","m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","<U+0268>","<U+0255>","<U+025B>","d","l","<U+0254>","n","<U+0268>","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+0254>","p","<U+0290>","<U+025B>","t<U+0361><U+0282>","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","a","w","a","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","w","a","m","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0272>","<U+025B>","l","<U+025B>","g","a","l","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","a","w","a","m","a","w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","<U+0254>","r","t","u","r","<U+0254>","v","a","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","a","j","<U+0272>","<U+025B>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","a","d","<U+0268>","k","a","l","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+0254>","p","a","d","a","j","<U+0254>","n","t<U+0361>s","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","<U+0254>","r","t","u","r","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","p","a","t<U+0361><U+0255>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0291>","i","v","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","w","<U+0254>","<U+0255>","n","<U+0268>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","s","t","<U+0290>","<U+0254>~","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
