one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
a,l,m,u,ː,a,ː,q,f,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,x,t,ˤ,a,ː,ء,,,,,,,,,,,,,,,,,,
t,d,͡,ʒ,n,b,,,,,,,,,,,,,,,,,,,,,,
d,ˤ,i,ː,q,,,,,,,,,,,,,,,,,,,,,,,
x,a,ː,d,m,,,,,,,,,,,,,,,,,,,,,,,
ʕ,z,l,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,a,ː,ħ,t,d,͡,ʒ,a,ː,d,͡,ʒ,a,ː,t,,,,,,,,,,,
a,l,d,b,a,ː,b,a,ː,t,,,,,,,,,,,,,,,,,,
m,ħ,d,u,ː,d,,,,,,,,,,,,,,,,,,,,,,
s,q,t,ˤ,,,,,,,,,,,,,,,,,,,,,,,,
m,q,ʕ,d,,,,,,,,,,,,,,,,,,,,,,,,
a,d,ˤ,t,ˤ,r,a,ː,b,a,ː,t,,,,,,,,,,,,,,,,
f,t,ħ,ة,,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,s,t,ˤ,u,ː,r,ة,,,,,,,,,,,,,,,,,,,
ɣ,a,ː,l,b,,,,,,,,,,,,,,,,,,,,,,,
a,n,f,d,͡,ʒ,a,ː,r,,,,,,,,,,,,,,,,,,,
d,b,a,ː,b,ة,,,,,,,,,,,,,,,,,,,,,,
x,t,ˤ,u,ː,r,ة,,,,,,,,,,,,,,,,,,,,,
x,s,a,ː,r,ة,,,,,,,,,,,,,,,,,,,,,,
a,l,q,i,ː,a,ː,m,ة,,,,,,,,,,,,,,,,,,,
a,ٕ,s,q,a,ː,t,ˤ,,,,,,,,,,,,,,,,,,,,
f,k,,,,,,,,,,,,,,,,,,,,,,,,,,
s,a,ː,m,,,,,,,,,,,,,,,,,,,,,,,,
x,l,l,,,,,,,,,,,,,,,,,,,,,,,,,
q,s,ˤ,u,ː,r,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,r,i,ː,m,ة,,,,,,,,,,,,,,,,,,,,
n,a,ː,r,,,,,,,,,,,,,,,,,,,,,,,,
ħ,ð,ˤ,r,,,,,,,,,,,,,,,,,,,,,,,,
f,n,i,ː,,,,,,,,,,,,,,,,,,,,,,,,
d,a,ː,ء,,,,,,,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,ð,u,ː,r,,,,,,,,,,,,,,,,,,,
ħ,d,͡,ʒ,ة,,,,,,,,,,,,,,,,,,,,,,,
s,i,ː,i,ː,ٔ,ة,,,,,,,,,,,,,,,,,,,,,
a,l,m,i,ː,t,,,,,,,,,,,,,,,,,,,,,,
n,q,d,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,ɣ,a,ː,z,i,ː,ة,,,,,,,,,,,,,,,,,,,
u,ː,ħ,l,,,,,,,,,,,,,,,,,,,,,,,,
a,l,q,l,q,,,,,,,,,,,,,,,,,,,,,,,
r,a,ː,i,ː,ٔ,ħ,ة,,,,,,,,,,,,,,,,,,,,
d,ˤ,r,b,ة,,,,,,,,,,,,,,,,,,,,,,,
a,l,x,l,a,ː,f,a,ː,t,,,,,,,,,,,,,,,,,,
ʕ,q,b,ة,,,,,,,,,,,,,,,,,,,,,,,,
ɣ,d,ˤ,b,,,,,,,,,,,,,,,,,,,,,,,,
i,ː,m,u,ː,t,,,,,,,,,,,,,,,,,,,,,,
d,ˤ,ʕ,i,ː,f,,,,,,,,,,,,,,,,,,,,,,
t,r,b,ة,,,,,,,,,,,,,,,,,,,,,,,,
m,ħ,a,ː,k,m,ة,,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,ʕ,d,a,ː,ء,,,,,,,,,,,,,,,,,,,
a,ٔ,l,m,,,,,,,,,,,,,,,,,,,,,,,,
b,a,ː,l,ɣ,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,q,a,ː,l,,,,,,,,,,,,,,,,,,,,,
i,ː,q,t,l,,,,,,,,,,,,,,,,,,,,,,,
m,i,ː,t,,,,,,,,,,,,,,,,,,,,,,,,
f,d,͡,ʒ,ʔ,a,ة,,,,,,,,,,,,,,,,,,,,,
ʕ,a,ː,d,i,ː,,,,,,,,,,,,,,,,,,,,,,
i,ː,r,f,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
a,l,s,ħ,b,,,,,,,,,,,,,,,,,,,,,,,
x,a,ː,r,d,͡,ʒ,i,ː,,,,,,,,,,,,,,,,,,,
h,a,ː,d,͡,ʒ,m,,,,,,,,,,,,,,,,,,,,,
m,n,a,ː,f,s,ة,,,,,,,,,,,,,,,,,,,,,
a,l,m,u,ː,a,ː,d,͡,ʒ,h,ة,,,,,,,,,,,,,,,,
ħ,u,ː,a,ː,d,θ,,,,,,,,,,,,,,,,,,,,,
m,ħ,r,m,,,,,,,,,,,,,,,,,,,,,,,,
q,a,ː,t,l,,,,,,,,,,,,,,,,,,,,,,,
ħ,r,m,,,,,,,,,,,,,,,,,,,,,,,,,
ħ,s,a,ː,s,i,ː,ة,,,,,,,,,,,,,,,,,,,,
s,ˤ,ʕ,b,,,,,,,,,,,,,,,,,,,,,,,,
k,a,ː,i,ː,ٔ,n,,,,,,,,,,,,,,,,,,,,,
a,ʕ,t,q,a,ː,l,,,,,,,,,,,,,,,,,,,,,
a,l,n,d,ˤ,a,ː,l,,,,,,,,,,,,,,,,,,,,
h,r,b,,,,,,,,,,,,,,,,,,,,,,,,,
q,s,ˤ,f,,,,,,,,,,,,,,,,,,,,,,,,
a,l,x,s,ˤ,m,,,,,,,,,,,,,,,,,,,,,,
a,n,q,t,ˤ,a,ː,ʕ,,,,,,,,,,,,,,,,,,,,
s,l,b,i,ː,ة,,,,,,,,,,,,,,,,,,,,,,
a,l,θ,u,ː,r,a,ː,t,,,,,,,,,,,,,,,,,,,
m,s,ħ,u,ː,q,,,,,,,,,,,,,,,,,,,,,,
a,l,b,t,ˤ,a,ː,l,ة,,,,,,,,,,,,,,,,,,,
a,l,q,i,ː,u,ː,d,,,,,,,,,,,,,,,,,,,,
a,l,ɣ,r,i,ː,b,,,,,,,,,,,,,,,,,,,,,
a,n,s,ħ,a,ː,b,,,,,,,,,,,,,,,,,,,,,
q,n,b,l,ة,,,,,,,,,,,,,,,,,,,,,,,
a,l,t,ʕ,ð,i,ː,b,,,,,,,,,,,,,,,,,,,,
t,m,r,d,,,,,,,,,,,,,,,,,,,,,,,,
t,q,t,s,ˤ,r,,,,,,,,,,,,,,,,,,,,,,
a,l,f,ʃ,l,,,,,,,,,,,,,,,,,,,,,,,
a,l,ħ,s,a,ː,s,i,ː,ة,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,r,a,ː,i,ː,ٔ,m,,,,,,,,,,,,,,,,
ʕ,a,ː,n,ى,,,,,,,,,,,,,,,,,,,,,,,
x,a,ː,l,i,ː,ة,,,,,,,,,,,,,,,,,,,,,
t,l,u,ː,θ,,,,,,,,,,,,,,,,,,,,,,,
a,l,m,u,ː,a,ː,n,i,ː,ٔ,,,,,,,,,,,,,,,,,
a,ٔ,x,t,ˤ,a,ː,ء,,,,,,,,,,,,,,,,,,,,
m,u,ː,ٔ,q,t,,,,,,,,,,,,,,,,,,,,,,
ʃ,q,,,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,r,f,,,,,,,,,,,,,,,,,,,,,,,,
k,l,a,ː,b,,,,,,,,,,,,,,,,,,,,,,,
t,a,ː,m,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,a,ː,l,,,,,,,,,,,,,,,,,,,,,,,,
b,b,t,ˤ,ء,,,,,,,,,,,,,,,,,,,,,,,
ħ,r,q,,,,,,,,,,,,,,,,,,,,,,,,,
a,ʕ,t,r,f,,,,,,,,,,,,,,,,,,,,,,,
m,ħ,a,ː,f,ð,ˤ,,,,,,,,,,,,,,,,,,,,,
x,z,a,ː,n,,,,,,,,,,,,,,,,,,,,,,,
ʃ,r,b,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,d,ˤ,r,b,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,s,u,ː,ʔ,a,,,,,,,,,,,,,,,,,,,,,
a,x,t,l,f,,,,,,,,,,,,,,,,,,,,,,,
h,d,m,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,m,t,k,r,r,ة,,,,,,,,,,,,,,,,,,,,
f,q,r,,,,,,,,,,,,,,,,,,,,,,,,,
m,n,f,ð,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,q,u,ː,b,ة,,,,,,,,,,,,,,,,,,,,,,
ħ,d,d,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,f,q,i,ː,r,ة,,,,,,,,,,,,,,,,,,,,
a,t,h,m,,,,,,,,,,,,,,,,,,,,,,,,
n,z,a,ː,ʕ,,,,,,,,,,,,,,,,,,,,,,,
i,ː,f,q,d,,,,,,,,,,,,,,,,,,,,,,,
θ,q,b,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,ð,ˤ,l,m,,,,,,,,,,,,,,,,,,,,,,
a,l,m,s,t,ħ,i,ː,l,,,,,,,,,,,,,,,,,,,
a,l,ʕ,d,͡,ʒ,z,,,,,,,,,,,,,,,,,,,,,
a,l,a,ː,ʕ,t,d,a,ː,ء,,,,,,,,,,,,,,,,,,
h,b,u,ː,t,ˤ,,,,,,,,,,,,,,,,,,,,,,
m,ʕ,d,,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,d,l,,,,,,,,,,,,,,,,,,,,,,,
a,l,s,ˤ,r,a,ː,ʕ,a,ː,t,,,,,,,,,,,,,,,,,
t,d,h,u,ː,r,,,,,,,,,,,,,,,,,,,,,,
m,a,ː,n,ʕ,,,,,,,,,,,,,,,,,,,,,,,
ʕ,s,i,ː,r,,,,,,,,,,,,,,,,,,,,,,,
k,a,ː,r,θ,ة,,,,,,,,,,,,,,,,,,,,,,
t,ʔ,a,x,r,,,,,,,,,,,,,,,,,,,,,,,
