one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
ɔ,n,d,ɛ,r,t,r,ʏ,k,k,ɛ,r,s,,,,,,,,,,,,,,,
n,o,ː,t,ɔ,j,r,,,,,,,,,,,,,,,,,,,,,
f,ɑ,t,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,ː,t,ɛ,k,e,ː,n,ɪ,s,l,o,ː,s,,,,,,,,,,,,,
z,ɑ,n,d,e,ː,r,ɪ,x,,,,,,,,,,,,,,,,,,,
p,ɛ,r,v,ɛ,r,s,e,ː,,,,,,,,,,,,,,,,,,,
ɔ,p,ɣ,ɛ,s,r,u,ː,f,t,,,,,,,,,,,,,,,,,,
n,ɛ,r,v,o,ː,s,i,ː,t,ɛ,j,t,,,,,,,,,,,,,,,
m,y,ː,t,e,ː,r,ɛ,n,,,,,,,,,,,,,,,,,,,
l,o,ː,t,,,,,,,,,,,,,,,,,,,,,,,,
k,l,ɛ,t,s,ɛ,n,,,,,,,,,,,,,,,,,,,,,
t,ʋ,ɑ,n,x,m,a,ː,t,ɪ,x,,,,,,,,,,,,,,,,,
t,r,ɔ,x,r,e,ː,d,ɛ,n,ɛ,n,,,,,,,,,,,,,,,,
d,e,ː,v,ɪ,l,,,,,,,,,,,,,,,,,,,,,,
d,ɛ,c,a,ː,d,ɛ,n,t,,,,,,,,,,,,,,,,,,,
c,r,ɑ,z,j,,,,,,,,,,,,,,,,,,,,,,,
b,ɛ,k,l,a,ː,ɣ,ɛ,n,,,,,,,,,,,,,,,,,,,
œ,ɥ,t,ʋ,ɪ,s,s,ɛ,n,,,,,,,,,,,,,,,,,,,
œ,ɥ,t,p,r,u,ː,ɛ,d,ɛ,n,,,,,,,,,,,,,,,,,
t,ʋ,e,ː,t,r,ɑ,x,t,,,,,,,,,,,,,,,,,,,
r,ɔ,n,t,ɑ,ŋ,ɛ,n,,,,,,,,,,,,,,,,,,,,
p,r,i,ː,s,ɔ,n,,,,,,,,,,,,,,,,,,,,,
p,a,w,ʏ,p,ɛ,r,,,,,,,,,,,,,,,,,,,,,
m,ɪ,s,s,ɛ,r,,,,,,,,,,,,,,,,,,,,,,
k,r,ɔ,n,k,e,ː,l,ɛ,n,t,,,,,,,,,,,,,,,,,
ɣ,o,ː,t,s,t,e,ː,n,,,,,,,,,,,,,,,,,,,
f,ɑ,j,ɪ,l,y,ː,r,e,ː,,,,,,,,,,,,,,,,,,
d,ɛ,p,t,,,,,,,,,,,,,,,,,,,,,,,,
ʋ,ɑ,s,t,a,ː,f,ɛ,l,,,,,,,,,,,,,,,,,,,
œ,ɥ,ɪ,t,ɑ,r,d,ɛ,n,,,,,,,,,,,,,,,,,,,
s,t,e,ː,r,ɛ,o,ː,t,i,ː,p,,,,,,,,,,,,,,,,
s,m,e,ː,k,b,e,ː,d,e,ː,,,,,,,,,,,,,,,,,
ɪ,r,r,a,ː,t,ɪ,o,ː,n,a,ː,l,,,,,,,,,,,,,,,
ɣ,ɑ,j,ɛ,n,,,,,,,,,,,,,,,,,,,,,,,
ɛ,r,b,ɑ,r,m,e,ː,l,ɛ,j,k,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
z,ɛ,s,p,u,w,,,,,,,,,,,,,,,,,,,,,,
t,͡,ʂ,a,s,,,,,,,,,,,,,,,,,,,,,,,
b,r,a,k,,,,,,,,,,,,,,,,,,,,,,,,
l,ɛ,ʐ,ɨ,,,,,,,,,,,,,,,,,,,,,,,,
t,͡,s,a,w,k,ɔ,v,i,t,͡,ɕ,ɛ,,,,,,,,,,,,,,,
ɕ,m,j,ɛ,r,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,
b,r,a,t,,,,,,,,,,,,,,,,,,,,,,,,
p,ɔ,r,t,,,,,,,,,,,,,,,,,,,,,,,,
u,ʐ,ɨ,v,a,n,ɨ,,,,,,,,,,,,,,,,,,,,,
z,a,m,j,a,s,t,,,,,,,,,,,,,,,,,,,,,
p,ɔ,v,s,t,a,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
v,a,l,t,͡,ʂ,ɨ,w,,,,,,,,,,,,,,,,,,,,
a,t,a,k,,,,,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,b,l,ɛ,m,ɨ,,,,,,,,,,,,,,,,,,,,
ɔ,b,j,ɛ,k,t,,,,,,,,,,,,,,,,,,,,,,
s,k,a,z,a,n,ɨ,,,,,,,,,,,,,,,,,,,,,
s,t,r,a,t,ɨ,,,,,,,,,,,,,,,,,,,,,,
z,a,d,a,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,,,
p,ɔ,d,͡,ʑ,a,w,,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,b,l,ɛ,m,,,,,,,,,,,,,,,,,,,,,
m,a,r,,,,,,,,,,,,,,,,,,,,,,,,,
d,ɔ,t,ɨ,t,͡,ʂ,ɨ,,,,,,,,,,,,,,,,,,,,
s,ɨ,t,u,a,t,͡,s,j,a,,,,,,,,,,,,,,,,,,
v,w,a,s,n,ɨ,,,,,,,,,,,,,,,,,,,,,,
s,p,a,d,w,,,,,,,,,,,,,,,,,,,,,,,
d,w,u,ɡ,ʲ,i,,,,,,,,,,,,,,,,,,,,,,
s,w,a,b,ɔ,,,,,,,,,,,,,,,,,,,,,,,
v,w,a,s,n,ɔ,ɕ,t,͡,ɕ,,,,,,,,,,,,,,,,,,
t,r,u,d,n,ɔ,ɕ,t,͡,ɕ,i,,,,,,,,,,,,,,,,,
p,ɔ,v,r,u,t,,,,,,,,,,,,,,,,,,,,,,
v,ɨ,t,͡,s,ɔ,f,a,w,,,,,,,,,,,,,,,,,,,
b,i,t,v,a,,,,,,,,,,,,,,,,,,,,,,,
ɕ,l,a,d,ɨ,,,,,,,,,,,,,,,,,,,,,,,
k,ɔ,n,f,l,i,k,t,,,,,,,,,,,,,,,,,,,,
l,ɛ,t,ɲ,i,,,,,,,,,,,,,,,,,,,,,,,
t,ɛ,m,p,ɛ,r,a,t,u,r,a,,,,,,,,,,,,,,,,,
p,r,ɔ,d,u,k,t,͡,s,j,a,,,,,,,,,,,,,,,,,
z,d,ɛ,t,͡,s,ɨ,d,ɔ,v,a,ɲ,ɛ,,,,,,,,,,,,,,,
p,ɔ,ɕ,v,j,ɛ,n,t,͡,ɕ,i,w,,,,,,,,,,,,,,,,
ɡ,r,a,ɲ,i,t,͡,s,a,,,,,,,,,,,,,,,,,,,
k,ɔ,m,p,l,ɛ,k,s,,,,,,,,,,,,,,,,,,,,
z,ɲ,i,ʂ,t,͡,ʂ,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,
s,t,a,l,ɛ,,,,,,,,,,,,,,,,,,,,,,,
p,ɔ,j,ɛ,n,t,͡,ɕ,a,,,,,,,,,,,,,,,,,,,
k,ɔ,d,,,,,,,,,,,,,,,,,,,,,,,,,
z,a,ɡ,r,ɔ,ʐ,ɛ,ɲ,a,,,,,,,,,,,,,,,,,,,
v,ɨ,ɕ,t,͡,ɕ,i,ɡ,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ɛ,̃,ʐ,k,ɔ,,,,,,,,,,,,,,,,,,,,
ɔ,d,m,u,v,i,w,,,,,,,,,,,,,,,,,,,,,
v,ɔ,n,t,p,l,i,v,ɔ,ɕ,t,͡,ɕ,i,,,,,,,,,,,,,,
s,p,a,d,ɛ,k,,,,,,,,,,,,,,,,,,,,,,
b,w,ɔ,n,d,,,,,,,,,,,,,,,,,,,,,,,
v,ɨ,z,n,a,ɲ,a,,,,,,,,,,,,,,,,,,,,,
k,a,t,a,s,t,r,ɔ,f,ɨ,,,,,,,,,,,,,,,,,,
p,a,n,,,,,,,,,,,,,,,,,,,,,,,,,
v,ɔ,l,n,ɔ,,,,,,,,,,,,,,,,,,,,,,,
v,ɨ,k,ɔ,ʐ,ɨ,s,t,a,t,͡,ɕ,,,,,,,,,,,,,,,,
a,t,a,k,ʲ,i,,,,,,,,,,,,,,,,,,,,,,
ɔ,p,u,r,,,,,,,,,,,,,,,,,,,,,,,,
f,l,a,ɡ,ʲ,i,,,,,,,,,,,,,,,,,,,,,,
v,a,l,k,a,,,,,,,,,,,,,,,,,,,,,,,
p,ɔ,v,ɔ,l,i,,,,,,,,,,,,,,,,,,,,,,
p,ɔ,t,ɔ,k,,,,,,,,,,,,,,,,,,,,,,,
t,r,u,d,n,ɛ,,,,,,,,,,,,,,,,,,,,,,
z,a,ɡ,r,ɔ,ʐ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,
p,ɔ,z,b,a,v,j,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,
r,u,j,n,ɨ,,,,,,,,,,,,,,,,,,,,,,,
ɔ,p,u,ɕ,t,͡,ɕ,i,t,͡,ɕ,,,,,,,,,,,,,,,,,
x,ɔ,r,ɔ,b,a,,,,,,,,,,,,,,,,,,,,,,
u,ʂ,k,ɔ,d,͡,z,ɛ,ɲ,a,,,,,,,,,,,,,,,,,,
ɔ,ɡ,r,a,ɲ,i,t,͡,ʂ,ɛ,ɲ,a,,,,,,,,,,,,,,,,
p,r,u,b,a,,,,,,,,,,,,,,,,,,,,,,,
n,a,ɡ,l,ɛ,,,,,,,,,,,,,,,,,,,,,,,
v,i,z,ɛ,r,u,n,ɛ,k,,,,,,,,,,,,,,,,,,,
v,ɨ,b,u,x,,,,,,,,,,,,,,,,,,,,,,,
s,a,m,ɔ,b,u,j,s,t,v,ɔ,,,,,,,,,,,,,,,,,
ɲ,ɛ,s,t,ɛ,t,ɨ,,,,,,,,,,,,,,,,,,,,,
u,t,͡,ɕ,ɛ,t,͡,s,,,,,,,,,,,,,,,,,,,,
b,w,ɛ,n,d,ɨ,,,,,,,,,,,,,,,,,,,,,,
v,ɨ,p,a,d,ɛ,k,,,,,,,,,,,,,,,,,,,,,
v,a,l,t,͡,ʂ,ɨ,t,͡,ɕ,,,,,,,,,,,,,,,,,,
z,l,i,k,v,i,d,ɔ,v,a,n,ɨ,,,,,,,,,,,,,,,,
ʑ,l,ɛ,,,,,,,,,,,,,,,,,,,,,,,,,
v,i,n,a,,,,,,,,,,,,,,,,,,,,,,,,
u,s,u,n,ɔ,ɲ,t,͡,ɕ,,,,,,,,,,,,,,,,,,,
b,ɛ,z,s,k,u,t,ɛ,t,͡,ʂ,ɲ,ɛ,,,,,,,,,,,,,,,
n,a,t,͡,ɕ,i,s,k,,,,,,,,,,,,,,,,,,,,
p,ʐ,ɛ,r,v,ɨ,,,,,,,,,,,,,,,,,,,,,,
b,ɔ,m,b,,,,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,p,ʐ,ɛ,r,v,a,ɲ,ɛ,,,,,,,,,,,,,,,,,,
z,a,b,i,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,,
p,ɔ,v,r,u,t,͡,ɕ,i,t,͡,ɕ,,,,,,,,,,,,,,,,
k,r,ɨ,z,ɨ,s,,,,,,,,,,,,,,,,,,,,,,
s,p,a,d,w,a,,,,,,,,,,,,,,,,,,,,,,
k,r,ɨ,t,ɨ,k,,,,,,,,,,,,,,,,,,,,,,
ɔ,b,j,a,v,ɨ,,,,,,,,,,,,,,,,,,,,,,
z,b,j,ɔ,r,ɲ,i,k,,,,,,,,,,,,,,,,,,,,
d,ɔ,ɕ,v,j,a,d,t,͡,ʂ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,
ɲ,i,ʂ,t,͡,ʂ,ɨ,t,͡,ɕ,ɛ,l,,,,,,,,,,,,,,,,
ɔ,s,k,a,ʐ,̇,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,,
d,w,u,ʐ,ʂ,ɨ,,,,,,,,,,,,,,,,,,,,,,
r,ɨ,z,ɨ,k,ɔ,,,,,,,,,,,,,,,,,,,,,,
z,a,p,a,l,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
p,ɔ,s,p,ɔ,l,i,t,ɨ,,,,,,,,,,,,,,,,,,,
u,ʂ,k,ɔ,d,͡,z,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,
z,a,b,i,t,ɨ,,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,s,p,ɔ,d,͡,ʑ,ɛ,v,a,ɲ,ɛ,,,,,,,,,,,,,,,
ʑ,ɛ,l,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,,,,,
s,p,u,r,,,,,,,,,,,,,,,,,,,,,,,,
ʑ,ɛ,m,j,a,,,,,,,,,,,,,,,,,,,,,,,
u,t,r,a,t,ɨ,,,,,,,,,,,,,,,,,,,,,,
u,p,a,d,ɛ,k,,,,,,,,,,,,,,,,,,,,,,
p,l,ɛ,m,j,ɛ,,,,,,,,,,,,,,,,,,,,,,
z,ɲ,i,ʂ,t,͡,ʂ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,
b,w,ɛ,n,d,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,,
v,ɨ,t,͡,s,ɔ,f,a,t,͡,ɕ,,,,,,,,,,,,,,,,,
r,ɛ,ʂ,t,k,ʲ,i,,,,,,,,,,,,,,,,,,,,,
s,w,a,b,ɛ,,,,,,,,,,,,,,,,,,,,,,,
ɔ,s,a,d,,,,,,,,,,,,,,,,,,,,,,,,
k,ɔ,l,ɛ,j,,,,,,,,,,,,,,,,,,,,,,,
t,r,a,t,͡,ɕ,i,,,,,,,,,,,,,,,,,,,,,
l,ɔ,ɡ,ɔ,,,,,,,,,,,,,,,,,,,,,,,,
t,͡,s,a,w,k,ʲ,ɛ,m,,,,,,,,,,,,,,,,,,,
z,w,ɛ,,,,,,,,,,,,,,,,,,,,,,,,,
ɔ,ɡ,r,a,ɲ,i,t,͡,ʂ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,
f,i,t,͡,s,t,j,ɔ,n,,,,,,,,,,,,,,,,,,,
ɔ,d,v,r,u,t,,,,,,,,,,,,,,,,,,,,,,
d,j,ɛ,,,,,,,,,,,,,,,,,,,,,,,,,
u,d,ɛ,ʐ,ɨ,w,,,,,,,,,,,,,,,,,,,,,,
z,w,a,,,,,,,,,,,,,,,,,,,,,,,,,
u,r,ɔ,t,͡,ʂ,ɨ,ɕ,t,͡,ɕ,ɛ,,,,,,,,,,,,,,,,
ɕ,r,ɛ,d,ɲ,i,,,,,,,,,,,,,,,,,,,,,,
u,d,ɛ,ʐ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,,
z,b,j,ɔ,r,ɲ,i,k,ʲ,i,,,,,,,,,,,,,,,,,,
k,w,ɔ,p,ɔ,t,ɨ,,,,,,,,,,,,,,,,,,,,,
z,ɲ,i,ʂ,t,͡,ʂ,ɨ,t,͡,ɕ,,,,,,,,,,,,,,,,,
ɔ,ɡ,r,a,ɲ,i,t,͡,ʂ,ɔ,n,ɨ,,,,,,,,,,,,,,,,
n,a,p,j,ɛ,n,t,͡,ɕ,ɛ,,,,,,,,,,,,,,,,,,
t,v,j,ɛ,r,d,͡,z,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,
p,ʐ,ɛ,d,m,j,ɔ,t,,,,,,,,,,,,,,,,,,,,
z,w,ɨ,,,,,,,,,,,,,,,,,,,,,,,,,
v,ɨ,d,a,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,,
u,m,j,ɛ,r,a,,,,,,,,,,,,,,,,,,,,,,
ɔ,s,k,a,ʐ,̇,ɛ,ɲ,a,,,,,,,,,,,,,,,,,,,
v,j,ɛ,̃,ʑ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
ɕ,l,a,d,,,,,,,,,,,,,,,,,,,,,,,,
ɲ,i,t,͡,ʂ,ɛ,ɡ,ɔ,,,,,,,,,,,,,,,,,,,,
u,t,͡,ɕ,ɛ,k,a,,,,,,,,,,,,,,,,,,,,,
r,a,n,ɨ,,,,,,,,,,,,,,,,,,,,,,,,
r,ɔ,z,k,w,a,d,,,,,,,,,,,,,,,,,,,,,
z,ɛ,v,n,ɛ,n,t,ʐ,n,ɨ,,,,,,,,,,,,,,,,,,
ɡ,v,a,w,t,ɔ,v,ɲ,ɛ,,,,,,,,,,,,,,,,,,,
v,ɨ,p,w,ɨ,v,a,,,,,,,,,,,,,,,,,,,,,
p,j,ɛ,s,,,,,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ɛ,̃,ʐ,k,ʲ,i,,,,,,,,,,,,,,,,,,,
z,a,ʐ,u,t,ɨ,,,,,,,,,,,,,,,,,,,,,,
z,a,b,i,j,a,,,,,,,,,,,,,,,,,,,,,,
v,a,d,ɨ,,,,,,,,,,,,,,,,,,,,,,,,
ɔ,d,p,ɔ,v,j,ɛ,d,͡,ʑ,a,l,n,ɔ,ɕ,t,͡,ɕ,,,,,,,,,,
b,r,a,k,ɔ,v,a,w,ɔ,,,,,,,,,,,,,,,,,,,
k,ɔ,ɕ,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,a,w,k,a,,,,,,,,,,,,,,,,,,,,,
ɔ,b,l,ɛ,̃,ʐ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,
p,ɔ,d,k,r,ɛ,ɕ,l,a,,,,,,,,,,,,,,,,,,,
t,ɨ,w,,,,,,,,,,,,,,,,,,,,,,,,,
t,͡,ʂ,ɔ,w,ɡ,,,,,,,,,,,,,,,,,,,,,,
p,j,ɛ,r,v,ɔ,t,n,ɨ,,,,,,,,,,,,,,,,,,,
n,a,d,͡,z,u,r,,,,,,,,,,,,,,,,,,,,,
ʐ,a,d,k,ʲ,i,,,,,,,,,,,,,,,,,,,,,,
l,ɛ,ʐ,ɔ,n,t,͡,s,ɨ,,,,,,,,,,,,,,,,,,,
k,ɔ,n,f,l,i,k,t,ɨ,,,,,,,,,,,,,,,,,,,
s,p,ʐ,ɛ,t,͡,ɕ,i,v,,,,,,,,,,,,,,,,,,,
b,u,n,t,,,,,,,,,,,,,,,,,,,,,,,,
b,u,l,,,,,,,,,,,,,,,,,,,,,,,,,
p,ɔ,v,s,t,ʐ,ɨ,m,a,t,͡,ɕ,,,,,,,,,,,,,,,,
z,a,t,ʐ,ɨ,m,a,n,ɨ,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ɛ,̃,ʐ,a,r,,,,,,,,,,,,,,,,,,,,
v,j,ɛ,̃,ʑ,ɛ,ɲ,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,z,n,a,n,ɨ,,,,,,,,,,,,,,,,,,,,,
ʂ,t,͡,ʂ,ɛ,ɡ,u,l,n,ɨ,,,,,,,,,,,,,,,,,,
p,u,n,k,,,,,,,,,,,,,,,,,,,,,,,,
ɔ,b,a,v,ɨ,,,,,,,,,,,,,,,,,,,,,,,
k,l,u,t,͡,ʂ,,,,,,,,,,,,,,,,,,,,,,
k,r,ɨ,t,ɨ,k,a,,,,,,,,,,,,,,,,,,,,,
s,t,r,a,t,͡,s,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,
z,a,t,ɔ,p,j,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,,
p,ʐ,ɛ,t,͡,ɕ,i,v,ɲ,i,k,,,,,,,,,,,,,,,,,
v,ɔ,n,t,ɛ,k,,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,v,s,t,a,n,ɲ,ɛ,,,,,,,,,,,,,,,,,,,
u,d,a,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,,,
ʂ,k,ʲ,ɛ,l,ɛ,t,,,,,,,,,,,,,,,,,,,,,
z,a,v,j,ɛ,ʂ,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,,
k,a,r,a,,,,,,,,,,,,,,,,,,,,,,,,
ɔ,b,r,ɔ,n,n,ɨ,,,,,,,,,,,,,,,,,,,,,
z,b,r,ɔ,d,ɲ,a,ʐ,,,,,,,,,,,,,,,,,,,,
w,u,k,,,,,,,,,,,,,,,,,,,,,,,,,
z,r,ɛ,z,ɨ,ɡ,n,ɔ,v,a,t,͡,ɕ,,,,,,,,,,,,,,,
t,r,u,d,n,ɨ,,,,,,,,,,,,,,,,,,,,,,
m,i,t,,,,,,,,,,,,,,,,,,,,,,,,,
z,a,a,t,a,k,ɔ,v,a,t,͡,ɕ,,,,,,,,,,,,,,,,
v,a,l,t,͡,ʂ,ɨ,,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,ɛ,s,t,ɨ,,,,,,,,,,,,,,,,,,,,
m,a,s,a,k,r,ɨ,,,,,,,,,,,,,,,,,,,,,
ʂ,t,u,t,͡,ʂ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
r,u,ʐ,n,ɨ,,,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,b,ɛ,z,p,j,ɛ,t,͡,ʂ,ɛ,ɲ,s,t,v,ɔ,,,,,,,,,,,
z,a,b,u,j,s,t,v,ɔ,,,,,,,,,,,,,,,,,,,
v,ɨ,z,n,a,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,,
p,ɔ,r,t,ɨ,,,,,,,,,,,,,,,,,,,,,,,
ɔ,t,v,ɔ,r,ɨ,,,,,,,,,,,,,,,,,,,,,,
s,w,a,b,ɨ,,,,,,,,,,,,,,,,,,,,,,,
u,t,r,a,t,a,,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,x,ɛ,ɲ,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,
z,a,p,a,x,,,,,,,,,,,,,,,,,,,,,,,
z,a,v,u,d,,,,,,,,,,,,,,,,,,,,,,,
x,ɔ,r,ɨ,,,,,,,,,,,,,,,,,,,,,,,,
d,ɛ,a,t,x,,,,,,,,,,,,,,,,,,,,,,,
ɔ,d,p,ɔ,r,n,ɔ,ɕ,t,͡,ɕ,,,,,,,,,,,,,,,,,
u,t,͡,ɕ,ɛ,k,a,t,͡,ɕ,,,,,,,,,,,,,,,,,,
s,w,u,p,,,,,,,,,,,,,,,,,,,,,,,,
z,m,a,r,w,ɨ,,,,,,,,,,,,,,,,,,,,,,
b,r,a,k,ʲ,i,,,,,,,,,,,,,,,,,,,,,,
v,ɨ,ɕ,i,w,k,u,,,,,,,,,,,,,,,,,,,,,
s,t,ɔ,l,ɛ,,,,,,,,,,,,,,,,,,,,,,,
p,w,ɨ,t,k,ʲ,i,,,,,,,,,,,,,,,,,,,,,
v,i,l,ɡ,ɔ,t,n,ɛ,,,,,,,,,,,,,,,,,,,,
b,w,ɛ,n,d,n,ɛ,,,,,,,,,,,,,,,,,,,,,
r,u,j,n,,,,,,,,,,,,,,,,,,,,,,,,
u,ʂ,k,ɔ,d,͡,z,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,
ɡ,ɔ,ʐ,ɛ,j,,,,,,,,,,,,,,,,,,,,,,,
v,a,w,,,,,,,,,,,,,,,,,,,,,,,,,
ɡ,v,a,w,t,ɔ,v,n,ɨ,,,,,,,,,,,,,,,,,,,
t,r,a,ɡ,ʲ,i,t,͡,ʂ,ɲ,ɛ,,,,,,,,,,,,,,,,,
p,ʐ,ɛ,r,v,a,t,͡,ɕ,,,,,,,,,,,,,,,,,,,
b,ɔ,m,b,a,,,,,,,,,,,,,,,,,,,,,,,
n,a,r,u,ʂ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,ɛ,s,t,,,,,,,,,,,,,,,,,,,,,
p,ʐ,ɛ,t,͡,ɕ,i,v,n,ɨ,,,,,,,,,,,,,,,,,,
p,ʐ,ɨ,j,m,ɔ,v,a,t,͡,ɕ,,,,,,,,,,,,,,,,,
p,ɔ,d,d,a,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,
ʂ,t,u,t,͡,ʂ,n,ɨ,,,,,,,,,,,,,,,,,,,,
ɔ,d,ʐ,u,t,͡,s,a,,,,,,,,,,,,,,,,,,,,
ɔ,p,u,ʂ,t,͡,ʂ,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,
s,p,a,l,ɔ,n,ɨ,,,,,,,,,,,,,,,,,,,,,
u,k,r,ɨ,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,,
m,ɔ,r,d,ɛ,r,s,t,v,ɔ,,,,,,,,,,,,,,,,,,
v,ɔ,̃,s,k,ʲ,i,,,,,,,,,,,,,,,,,,,,,
ɕ,m,j,ɛ,t,͡,ɕ,i,,,,,,,,,,,,,,,,,,,,
t,r,u,j,k,a,,,,,,,,,,,,,,,,,,,,,,
ɔ,s,w,a,b,j,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,
ɕ,m,j,ɛ,r,t,ɛ,l,ɲ,ɛ,,,,,,,,,,,,,,,,,,
k,a,v,a,w,ɛ,k,,,,,,,,,,,,,,,,,,,,,
ɔ,d,m,a,v,j,a,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,ɔ,b,ɛ,t,͡,s,n,ɔ,ɕ,t,͡,ɕ,,,,,,,,,,,,,,
p,l,a,m,ɨ,,,,,,,,,,,,,,,,,,,,,,,
s,p,i,s,ɛ,k,,,,,,,,,,,,,,,,,,,,,,
d,ɔ,t,ɨ,t,͡,ʂ,ɨ,t,͡,ɕ,,,,,,,,,,,,,,,,,
z,m,a,r,l,i,,,,,,,,,,,,,,,,,,,,,,
z,a,ʐ,u,t,,,,,,,,,,,,,,,,,,,,,,,
u,l,ɛ,t,͡,s,,,,,,,,,,,,,,,,,,,,,,
p,ʐ,ɛ,r,v,a,n,a,,,,,,,,,,,,,,,,,,,,
z,a,b,i,t,͡,ɕ,ɛ,,,,,,,,,,,,,,,,,,,,
v,ɨ,t,ʐ,ɨ,m,a,w,ɔ,ɕ,t,͡,ɕ,,,,,,,,,,,,,,,
x,a,r,d,,,,,,,,,,,,,,,,,,,,,,,,
s,ɨ,n,d,r,ɔ,m,ɛ,,,,,,,,,,,,,,,,,,,,
ɲ,i,ʂ,t,͡,ʂ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,
s,t,r,a,j,k,,,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,l,ɛ,ɡ,a,l,ɲ,ɛ,,,,,,,,,,,,,,,,,,,
k,r,ɨ,t,ɨ,t,͡,s,ɨ,,,,,,,,,,,,,,,,,,,
k,a,r,n,ɨ,,,,,,,,,,,,,,,,,,,,,,,
r,ɔ,z,p,a,d,,,,,,,,,,,,,,,,,,,,,,
z,w,a,m,a,w,,,,,,,,,,,,,,,,,,,,,,
r,ɔ,z,p,ɔ,v,ʂ,ɛ,x,ɲ,ɔ,n,ɨ,,,,,,,,,,,,,,,
v,ɨ,ɡ,n,a,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,,
z,a,b,u,ʐ,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
l,u,ʑ,n,ɔ,,,,,,,,,,,,,,,,,,,,,,,
f,a,w,ʂ,ɨ,v,ɛ,,,,,,,,,,,,,,,,,,,,,
z,b,j,ɛ,t,͡,s,,,,,,,,,,,,,,,,,,,,,
ɔ,p,ɔ,z,ɨ,t,͡,s,j,a,,,,,,,,,,,,,,,,,,
k,a,t,a,s,t,r,ɔ,f,a,,,,,,,,,,,,,,,,,,
ɲ,ɛ,z,a,d,ɔ,v,ɔ,l,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,
n,a,x,ɨ,l,ɛ,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
j,a,s,k,ʲ,i,ɲ,a,,,,,,,,,,,,,,,,,,,,
ɲ,ɛ,x,ɛ,n,t,ɲ,ɛ,,,,,,,,,,,,,,,,,,,,
