"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"k","a","r","i","z","m","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","o","r","b","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","d","e","a","l","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","n","o","r","i","f","i","t<U+0361><U+0283>","e","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","s","t<U+0361><U+0283>","u","t<U+02D0>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","a","d","e","v","o","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","o","r","t","u","n","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","e","t","i","t","i","v","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","n","t<U+0361><U+0283>","e","r","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","n","i","f","o","r","m","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","t<U+0361><U+0283>","i","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","l","e","g","a","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","o","r","m","i","d","a","b","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","r","p","r","e","n","d","e","n","t","e","m","e","n","t","e",NA,NA,NA,NA,NA
"k","o","n","f","o","r","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","d","i","s","i","o","n","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","u","l","i","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d<U+0361><U+0292>","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","r","e","n","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","e","n","e","r","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","r","m","e","t<U+02D0>","e","r","s","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","e","f","e","r","i","b","i","l","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","e","n","t","i","l","u","o","m","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","a","d","i","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","o","d","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","l","i","m","e","n","t","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","e","v","i","v","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","t<U+0361><U+0283>","i","l","i","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","v","a","l<U+02D0>","e","r","e","<U+0283>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","s","t","r","u","t<U+02D0>","i","v","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","l","a","s","t","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","v","i","n","t<U+0361><U+0283>","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","v","e","n","u","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","e","r","s","a","t","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","a","v","i","g","a","b","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","<U+0272>","i","f","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","r<U+02D0>","e","a","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","d","o","l","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","o","i","e","l<U+02D0>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","r","t","e","s","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","i","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","r<U+02D0>","i","k<U+02D0>","i","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","e","s","t","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","e","f","e","r","i","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","i","e","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","v","i","v","e","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","i","d","e","r","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","l","v","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","k","o","r","a","d<U+0361><U+0292><U+02D0>","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","o","g","r","e","d","i","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","o","r","a","l","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","r","e","t<U+0361><U+0283><U+02D0>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","a","k<U+02D0>","o","m","a","n","d","a","s","i","o","n","e",NA,NA,NA,NA,NA,NA,NA,NA
"a","t<U+02D0>","r","a","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","i","o","n","f","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d<U+0361><U+0292>","i","l","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","<U+0272>","o","r","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","p","e","r","k","i","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","o","d","u","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b<U+02D0>","r","a","t<U+0361><U+0283><U+02D0>","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","i","b","e","r","t","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","n","t<U+0361><U+0283>","e","r","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","f","o","r","m","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","a","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","f<U+02D0>","i","t<U+0361><U+0283>","e","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","e","n","e","r","o","s","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","n","e","s","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","o","r","b","i","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","r","p","a","s<U+02D0>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","m","p","l","i","f","i","k","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","t<U+0361><U+0283>","e","r","t","o","l","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","t<U+02D0>","r","a","r<U+02D0>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p<U+02D0>","r","o","f","i","t<U+02D0>","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","e","r","s","a","t","i","l","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","i","d<U+0361><U+0292>","i","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","f","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","u","d","e","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","l","u","t","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","d<U+0361><U+0292><U+02D0>","i","b","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","a","s<U+02D0>","i","o","n","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","e","n","t","i","l","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","o","g","r","e","s<U+02D0>","i","s","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","d","r","o","n","a","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","o","t","e","t<U+02D0>","i","v","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","o","m","e","t<U+02D0>","e","n","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","a","l<U+02D0>","e","d<U+0361><U+0292><U+02D0>","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","i","e","r","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","f","i","d","e","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","t<U+0361><U+0283>","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","r","v","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","e","r","o","g","a","t","i","v","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","a","t","i","t","u","d","i","n","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361><U+0283>","e","l","e","b","r","a","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","r","a","v","i","<U+028E>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","s<U+02D0>","i","k","u","r","a","s","i","o","n","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","p<U+02D0>","u","t<U+0361><U+0283><U+02D0>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","f","o","r","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","r","e","d","i","b","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","f<U+02D0>","i","t<U+0361><U+0283>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","f","o","r","m","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","u","t","r","i","m","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","i","r","t","u","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","a","d","i","m","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","s","u","m","a","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","n","o","r","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","f<U+02D0>","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b","i","l","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","a","k<U+02D0>","o","m","a","n","d","a","s","i","o","n","i",NA,NA,NA,NA,NA,NA,NA,NA
"e","k","u","i","l","i","b","r","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","m<U+02D0>","i","r","a","t","o","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","r","a","v","i","<U+028E>","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d<U+0361><U+0292>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","e","d","i","l","e","s","i","o","n","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","u","t","r","i","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","e","r","o","d","i","n","a","m","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","f","i","s","t","i","k","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","f","o","n","d","a","m","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","r","a","v","i","<U+028E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","i","d","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","r","a","k","o","l","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","e","a","l","i","s","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","t","e","l<U+02D0>","i","d<U+0361><U+0292>","e","n","t<U+0361><U+0283>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","n","g","r","a","s","i","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","n","s","i","t","u","t<U+02D0>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","o","t","i","v","a","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","e","n","e","r","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","l","i","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","a","t","i","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","k<U+02D0>","u","r","a","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l<U+02D0>","e","g","r","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","r","a","o","r","d","i","n","a","r","i","a","m","e","n","t","e",NA,NA,NA,NA
"s","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","r","v","o","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","i","v","a","t<U+0361><U+0283>","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","u","i","e","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","l","i","t<U+0361><U+0283>","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","p","u","l","i","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","e","s","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","a","l","o","r","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","o","l","t<U+0361><U+0283>","e","t<U+0361>s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","a","d<U+0361><U+0292>","o","n","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p<U+02D0>","r","o","v","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","r","e","a","t","e","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","l","o","r","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","i","o","r","i","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","m","o","r","i","z","m","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"z","v","a","g","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","l","i","d","a","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","d","i","<U+0283>","u","s<U+02D0>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","l<U+02D0>","i","e","v","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l<U+02D0>","e","v","i","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","r","a","v","i","<U+028E>","o","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","o","d","i","d<U+0361><U+0292>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","r","o","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","a","k<U+02D0>","o","m","a","n","d","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","l","a","n","t<U+0361><U+0283>","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","n","o","r","a","m","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","r","t","i","k","o","l","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","r","i","z","m","a","t","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","l","i","k","a","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","s","t","r","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d<U+0361><U+0292>","e","m<U+02D0>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","r","e","m","i","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","v","o","r","i","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","v","e","n","i","e","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","m","o","r","i","s","t","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","u","l","i","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","a","r","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","l","i","d","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","r","f","e","s","i","o","n","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","a","t<U+02D0>","i","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","r","d","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","n","y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","m<U+02D0>","i","r","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","t<U+0361><U+0283>","i","f","i","k","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","r","i","t","e","v","o","l","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","t<U+0361><U+0283>","i","l","i","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","o","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","l","m","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","k<U+02D0>","o","n","t","e","n","t","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","a","f<U+02D0>","i","n","a","t","e","t<U+0361>s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","f","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","t","r","i","o","t<U+02D0>","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","s<U+02D0>","i","k","u","r","a","n","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","u","i","l","i","b","r","a","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v","a","l","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","e","k","l","a","m","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","a","s","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t<U+0361><U+0283>","i","n","t","i","l<U+02D0>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","r","i","l<U+02D0>","a","n","t","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","s","e","r","i","k","o","r","d","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","e","n","a","t<U+0361><U+0283>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","t","u","r","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","e","t","r","a","t<U+02D0>","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","a","d<U+0361><U+0292>","o","n","e","v","o","l","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"p","r","e","m","i","n","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","l","i","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","i","v","i","n","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","i","d","e","r","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p<U+02D0>","u","n","t","i","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","l","e","v","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","d","a","t<U+0361><U+0283>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","i","m","o","l","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","n","o","r","e","v","o","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","v","o","l","e","n","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","s","p","a","r","m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","l","a","k","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","a","b","i","l","i","t<U+0361>s","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","t<U+0361><U+0283>","i","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","p","e","<U+0272>","a","n","d","o","s","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","s","o","l","a","s","i","o","n","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t<U+0361><U+0283>","e","l","e","b","r","a","t","i","v","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","l","e","n","s","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","e","g","o","l","a","b","i","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","<U+028E>","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","r<U+02D0>","i","k<U+02D0>","i","m","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","r","o","m","b","e","t<U+02D0>","i","s","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r","i","m","b","o","r","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","a","l","t","a","r","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p<U+02D0>","r","e","t<U+0361>s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
