0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
b,i,ː,ٔ,r,,,,,,,,,,,,,,,,,,,,,,
i,ː,t,d,͡,ʒ,a,ː,u,ː,z,,,,,,,,,,,,,,,,
ʕ,a,ː,d,l,,,,,,,,,,,,,,,,,,,,,,
q,a,ː,b,l,ة,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,m,i,ː,l,ة,,,,,,,,,,,,,,,,,,,
a,ʕ,t,b,a,ː,r,,,,,,,,,,,,,,,,,,,,
ħ,b,i,ː,b,,,,,,,,,,,,,,,,,,,,,,
r,d,ˤ,a,ː,,,,,,,,,,,,,,,,,,,,,,
r,ʕ,a,ː,i,ː,ة,,,,,,,,,,,,,,,,,,,,
t,t,m,t,ʕ,,,,,,,,,,,,,,,,,,,,,,
f,d,ˤ,l,,,,,,,,,,,,,,,,,,,,,,,
b,s,i,ː,t,ˤ,,,,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,m,a,ː,l,,,,,,,,,,,,,,,,,,
d,ʕ,a,ː,,,,,,,,,,,,,,,,,,,,,,,
t,u,ː,d,͡,ʒ,i,ː,h,,,,,,,,,,,,,,,,,,
a,ٔ,s,r,ʕ,,,,,,,,,,,,,,,,,,,,,,
i,ː,t,m,t,ʕ,,,,,,,,,,,,,,,,,,,,,
m,s,t,q,l,,,,,,,,,,,,,,,,,,,,,,
s,r,i,ː,ʕ,,,,,,,,,,,,,,,,,,,,,,
h,a,ː,m,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,θ,a,ː,r,,,,,,,,,,,,,,,,,,,,,
s,a,ː,ʕ,d,,,,,,,,,,,,,,,,,,,,,,
q,i,ː,m,,,,,,,,,,,,,,,,,,,,,,,
r,i,g,h,t,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,ħ,s,n,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,d,͡,ʒ,m,l,,,,,,,,,,,,,,,,,,,,
θ,q,ة,,,,,,,,,,,,,,,,,,,,,,,,
r,i,ː,a,ː,d,ˤ,i,ː,,,,,,,,,,,,,,,,,,
b,d,q,ة,,,,,,,,,,,,,,,,,,,,,,,
k,r,i,ː,m,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,m,n,,,,,,,,,,,,,,,,,,,,,,,
t,ʕ,z,i,ː,z,,,,,,,,,,,,,,,,,,,,,
b,a,ː,s,t,m,r,a,ː,r,,,,,,,,,,,,,,,,,
ʕ,ð,ˤ,i,ː,m,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,d,,,,,,,,,,,,,,,,,,,,,,,
a,l,n,s,x,,,,,,,,,,,,,,,,,,,,,,
m,ħ,s,n,,,,,,,,,,,,,,,,,,,,,,,
ʃ,a,ː,b,,,,,,,,,,,,,,,,,,,,,,,
t,u,ː,f,i,ː,q,,,,,,,,,,,,,,,,,,,,
d,q,ة,,,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,s,ˤ,l,a,ː,ħ,,,,,,,,,,,,,,,,,,,
a,ٔ,k,d,,,,,,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,n,ة,,,,,,,,,,,,,,,,,,,,
ħ,m,a,ː,s,,,,,,,,,,,,,,,,,,,,,,
i,ː,ħ,b,,,,,,,,,,,,,,,,,,,,,,,
i,ː,k,f,i,ː,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,i,ː,d,a,ː,,,,,,,,,,,,,,,,,,,
d,q,i,ː,q,,,,,,,,,,,,,,,,,,,,,,
u,ː,a,ː,f,q,,,,,,,,,,,,,,,,,,,,,
q,a,ː,d,r,,,,,,,,,,,,,,,,,,,,,,
m,n,t,d,͡,ʒ,,,,,,,,,,,,,,,,,,,,,
r,ħ,m,ة,,,,,,,,,,,,,,,,,,,,,,,
b,ħ,q,,,,,,,,,,,,,,,,,,,,,,,,
t,t,d,͡,ʒ,a,ː,u,ː,z,,,,,,,,,,,,,,,,,
r,a,ː,i,ː,ٔ,ʕ,ة,,,,,,,,,,,,,,,,,,,
s,k,n,,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,b,d,a,ː,l,,,,,,,,,,,,,,,,,,,
b,n,d,͡,ʒ,a,ː,ħ,,,,,,,,,,,,,,,,,,,
a,l,θ,q,ة,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,m,l,,,,,,,,,,,,,,,,,,,,,,,
f,ʕ,a,ː,l,i,ː,ة,,,,,,,,,,,,,,,,,,,
a,s,t,q,r,,,,,,,,,,,,,,,,,,,,,,
h,z,m,,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,ʕ,a,ː,d,ة,,,,,,,,,,,,,,,,,,,
a,ٔ,d,b,,,,,,,,,,,,,,,,,,,,,,,
s,r,,,,,,,,,,,,,,,,,,,,,,,,,
n,f,u,ː,ð,,,,,,,,,,,,,,,,,,,,,,
i,ː,m,i,ː,n,,,,,,,,,,,,,,,,,,,,,
m,l,ħ,u,ː,ð,ˤ,,,,,,,,,,,,,,,,,,,,
f,k,r,,,,,,,,,,,,,,,,,,,,,,,,
t,f,u,ː,q,,,,,,,,,,,,,,,,,,,,,,
t,ˤ,a,ː,h,r,,,,,,,,,,,,,,,,,,,,,
b,a,ː,r,k,,,,,,,,,,,,,,,,,,,,,,
ʕ,l,a,ː,u,ː,ة,,,,,,,,,,,,,,,,,,,,
t,d,͡,ʒ,a,ː,u,ː,z,,,,,,,,,,,,,,,,,,
ʃ,a,ː,m,l,,,,,,,,,,,,,,,,,,,,,,
a,l,m,d,a,ː,f,ʕ,,,,,,,,,,,,,,,,,,,
f,ʕ,a,ː,l,,,,,,,,,,,,,,,,,,,,,,
u,ː,t,ˤ,n,i,ː,,,,,,,,,,,,,,,,,,,,
l,f,ð,ˤ,,,,,,,,,,,,,,,,,,,,,,,
f,u,ː,z,,,,,,,,,,,,,,,,,,,,,,,
