0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ɕ,u,d,d,̤,ə,,,,,,,,,,,,,,,,,,,,,
s,p,ə,ʂ,ʈ,ə,,,,,,,,,,,,,,,,,,,,,
s,o,j,,,,,,,,,,,,,,,,,,,,,,,,
m,ə,ɦ,t,t,v,a,ː,t,͡,ɕ,i,ː,,,,,,,,,,,,,,
v,a,ː,ɖ,̤,,,,,,,,,,,,,,,,,,,,,,
s,i,d,d,̤,ə,,,,,,,,,,,,,,,,,,,,,
s,ə,m,r,t,ʰ,ə,,,,,,,,,,,,,,,,,,,,
s,u,v,i,d,̤,a,ː,,,,,,,,,,,,,,,,,,,
p,u,ː,r,ɳ,ə,p,ɳ,e,,,,,,,,,,,,,,,,,,
j,ə,ɕ,ə,,,,,,,,,,,,,,,,,,,,,,,
s,ə,ɦ,ə,d,͡,ʑ,ə,,,,,,,,,,,,,,,,,,,
w,e,l,l,,,,,,,,,,,,,,,,,,,,,,,
m,ə,ɦ,t,t,v,a,ː,t,͡,ɕ,a,ː,,,,,,,,,,,,,,
p,r,ə,k,a,ː,ɕ,ə,,,,,,,,,,,,,,,,,,,
s,u,d,̤,a,ː,r,ɳ,a,ː,,,,,,,,,,,,,,,,,
s,ə,n,r,ə,k,ɕ,ə,ɳ,,,,,,,,,,,,,,,,,,
u,d,a,ː,ɦ,r,ə,ɳ,,,,,,,,,,,,,,,,,,,
s,o,p,e,,,,,,,,,,,,,,,,,,,,,,,
p,ʰ,ə,r,ə,k,,,,,,,,,,,,,,,,,,,,,
i,m,p,o,r,t,a,n,t,,,,,,,,,,,,,,,,,,
v,i,ɕ,v,a,ː,s,,,,,,,,,,,,,,,,,,,,
f,r,e,e,,,,,,,,,,,,,,,,,,,,,,,
m,a,ː,n,j,ə,t,a,ː,,,,,,,,,,,,,,,,,,
m,a,ː,r,ɡ,ə,d,r,ɕ,ə,n,,,,,,,,,,,,,,,,
s,u,p,p,o,r,t,,,,,,,,,,,,,,,,,,,,
p,ʰ,a,ː,j,d,a,ː,,,,,,,,,,,,,,,,,,,
p,ə,v,i,t,r,ə,,,,,,,,,,,,,,,,,,,,
p,ə,n,ɖ,i,t,,,,,,,,,,,,,,,,,,,,,
s,ə,ɦ,k,a,ː,r,i,ː,,,,,,,,,,,,,,,,,,
t,͡,ɕ,a,ː,ŋ,ɡ,l,e,,,,,,,,,,,,,,,,,,
ɕ,ə,k,t,i,ː,,,,,,,,,,,,,,,,,,,,,
p,r,ə,ɡ,t,i,ː,,,,,,,,,,,,,,,,,,,,
a,ː,d,̤,a,ː,r,,,,,,,,,,,,,,,,,,,,
s,ə,n,m,a,ː,n,,,,,,,,,,,,,,,,,,,,
v,a,ː,ɖ,̤,t,e,,,,,,,,,,,,,,,,,,,,
p,r,e,m,,,,,,,,,,,,,,,,,,,,,,,
b,̤,ə,v,j,ə,,,,,,,,,,,,,,,,,,,,,
p,a,ː,r,i,t,o,ʂ,i,k,,,,,,,,,,,,,,,,,
u,t,s,ə,v,,,,,,,,,,,,,,,,,,,,,,
t,o,p,,,,,,,,,,,,,,,,,,,,,,,,
a,v,a,i,l,a,b,l,e,,,,,,,,,,,,,,,,,,
v,e,ɡ,a,ː,n,e,,,,,,,,,,,,,,,,,,,,
u,p,j,u,k,t,ə,,,,,,,,,,,,,,,,,,,,
u,p,a,ː,j,,,,,,,,,,,,,,,,,,,,,,
k,ʰ,a,ː,t,r,i,ː,,,,,,,,,,,,,,,,,,,
d,̤,ə,n,j,ə,v,a,ː,d,,,,,,,,,,,,,,,,,
p,r,ə,b,̤,a,ː,v,i,ː,,,,,,,,,,,,,,,,,
ɡ,ɔ,ː,r,ə,v,,,,,,,,,,,,,,,,,,,,,
s,v,a,ː,j,t,t,ə,,,,,,,,,,,,,,,,,,,
ɕ,r,i,ː,m,ə,n,t,ə,,,,,,,,,,,,,,,,,,
g,o,o,d,,,,,,,,,,,,,,,,,,,,,,,
k,ə,r,a,ː,r,,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,a,ː,ŋ,ɡ,l,a,ː,,,,,,,,,,,,,,,,,
k,a,ː,m,ɡ,i,r,i,ː,,,,,,,,,,,,,,,,,,
s,u,r,ə,k,ɕ,i,t,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,a,ː,ŋ,ɡ,l,i,ː,,,,,,,,,,,,,,,,,
p,u,ʂ,k,ə,ɭ,ə,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,a,ː,ŋ,ɡ,l,j,a,ː,,,,,,,,,,,,,,,,
p,o,p,u,l,a,r,,,,,,,,,,,,,,,,,,,,
m,o,d,e,r,n,,,,,,,,,,,,,,,,,,,,,
t,ə,r,u,ɳ,,,,,,,,,,,,,,,,,,,,,,
u,t,k,r,̩,ʂ,ʈ,ə,,,,,,,,,,,,,,,,,,,
a,ː,d,r,ɕ,ə,,,,,,,,,,,,,,,,,,,,,
s,a,ː,r,k,ʰ,e,,,,,,,,,,,,,,,,,,,,
k,i,m,m,ə,t,,,,,,,,,,,,,,,,,,,,,
ɕ,r,e,ʂ,ʈ,ʰ,ə,,,,,,,,,,,,,,,,,,,,
p,r,e,r,ɳ,a,ː,,,,,,,,,,,,,,,,,,,,
k,ʰ,o,l,,,,,,,,,,,,,,,,,,,,,,,
s,ə,r,v,o,t,k,r,̩,ʂ,ʈ,ə,,,,,,,,,,,,,,,
s,ə,m,r,t,ʰ,ə,n,,,,,,,,,,,,,,,,,,,
b,a,ː,t,m,i,ː,,,,,,,,,,,,,,,,,,,,
ɡ,o,ɖ,,,,,,,,,,,,,,,,,,,,,,,,
w,o,r,k,s,,,,,,,,,,,,,,,,,,,,,,
u,ʂ,ɳ,ə,,,,,,,,,,,,,,,,,,,,,,,
a,b,̤,i,d,͡,ʑ,a,ː,t,,,,,,,,,,,,,,,,,
p,r,ə,ɡ,ə,t,,,,,,,,,,,,,,,,,,,,,
k,ʰ,ə,r,a,ː,,,,,,,,,,,,,,,,,,,,,
p,r,ə,s,n,n,ə,,,,,,,,,,,,,,,,,,,,
ɡ,ə,r,ə,m,,,,,,,,,,,,,,,,,,,,,,
s,ə,m,a,ː,d,̤,a,ː,n,,,,,,,,,,,,,,,,,
a,t,͡,ɕ,u,ː,k,,,,,,,,,,,,,,,,,,,,
s,u,k,ʰ,,,,,,,,,,,,,,,,,,,,,,,
ɕ,r,ə,d,d,̤,a,ː,,,,,,,,,,,,,,,,,,,
ɕ,a,ː,n,t,ə,,,,,,,,,,,,,,,,,,,,,
s,u,p,r,ə,s,i,d,d,̤,ə,,,,,,,,,,,,,,,,
s,ə,n,t,o,ʂ,,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,ə,l,ə,d,,,,,,,,,,,,,,,,,,,,
a,ː,k,r,ʂ,ə,ɳ,,,,,,,,,,,,,,,,,,,,
t,ʰ,o,r,,,,,,,,,,,,,,,,,,,,,,,
ɦ,a,ː,t,b,̤,a,ː,r,,,,,,,,,,,,,,,,,,
b,e,s,t,,,,,,,,,,,,,,,,,,,,,,,
v,i,n,o,d,i,ː,,,,,,,,,,,,,,,,,,,,
p,ə,s,ə,n,t,ə,,,,,,,,,,,,,,,,,,,,
a,ː,v,ə,ɖ,,,,,,,,,,,,,,,,,,,,,,
s,a,ː,t,t,j,a,ː,n,e,,,,,,,,,,,,,,,,,
k,a,ː,r,ɳ,i,ː,b,̤,u,ː,t,,,,,,,,,,,,,,,
p,r,ə,b,̤,a,ː,v,i,t,,,,,,,,,,,,,,,,,
w,o,n,,,,,,,,,,,,,,,,,,,,,,,,
v,ə,t,͡,ɕ,ə,n,,,,,,,,,,,,,,,,,,,,
s,ə,n,l,ɡ,n,ə,,,,,,,,,,,,,,,,,,,,
v,j,ə,v,s,t,ʰ,i,t,,,,,,,,,,,,,,,,,,
p,r,ə,k,ʰ,j,a,ː,t,,,,,,,,,,,,,,,,,,
m,ə,d,͡,ʑ,ə,b,u,ː,t,,,,,,,,,,,,,,,,,
n,e,m,k,e,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,a,ː,ɡ,r,̩,t,,,,,,,,,,,,,,,,,,
s,ɔ,ː,m,j,ə,,,,,,,,,,,,,,,,,,,,,
v,i,d,͡,ʑ,e,t,a,ː,,,,,,,,,,,,,,,,,,
g,r,e,a,t,,,,,,,,,,,,,,,,,,,,,,
p,ə,r,a,ː,b,̤,u,ː,t,,,,,,,,,,,,,,,,,
s,v,ə,t,͡,ɕ,t,͡,ɕ,ʰ,ə,,,,,,,,,,,,,,,,
v,j,a,ː,p,ə,k,,,,,,,,,,,,,,,,,,,,
v,a,ː,ɖ,̤,l,e,,,,,,,,,,,,,,,,,,,,
l,e,d,,,,,,,,,,,,,,,,,,,,,,,,
a,p,p,r,o,p,r,i,a,t,e,,,,,,,,,,,,,,,,
ɕ,a,ː,n,t,t,a,ː,,,,,,,,,,,,,,,,,,,
m,ə,d,̤,u,r,,,,,,,,,,,,,,,,,,,,,
v,æ,ː,ɕ,i,ʂ,ʈ,j,e,,,,,,,,,,,,,,,,,,
p,ə,r,i,p,u,ː,r,ɳ,ə,,,,,,,,,,,,,,,,,
s,u,l,ə,b,̤,,,,,,,,,,,,,,,,,,,,,
a,ː,d,ə,r,,,,,,,,,,,,,,,,,,,,,,
a,n,u,k,u,ː,l,,,,,,,,,,,,,,,,,,,,
s,ɔ,ː,n,d,r,j,ə,,,,,,,,,,,,,,,,,,,
s,o,n,e,,,,,,,,,,,,,,,,,,,,,,,
s,a,ː,p,ʰ,,,,,,,,,,,,,,,,,,,,,,
k,a,ː,j,d,e,ɕ,i,ː,r,,,,,,,,,,,,,,,,,
s,t,r,o,n,g,,,,,,,,,,,,,,,,,,,,,
u,s,e,f,u,l,,,,,,,,,,,,,,,,,,,,,
f,r,e,e,d,o,m,,,,,,,,,,,,,,,,,,,,
v,i,p,u,l,,,,,,,,,,,,,,,,,,,,,,
m,u,k,t,i,ː,,,,,,,,,,,,,,,,,,,,,
d,r,̩,ʂ,ʈ,i,ː,,,,,,,,,,,,,,,,,,,,
t,e,ɦ,i,ː,,,,,,,,,,,,,,,,,,,,,,
v,i,v,i,d,̤,t,a,ː,,,,,,,,,,,,,,,,,,
k,u,ɕ,ə,l,,,,,,,,,,,,,,,,,,,,,,
e,n,o,u,g,h,,,,,,,,,,,,,,,,,,,,,
p,ʰ,u,ː,l,,,,,,,,,,,,,,,,,,,,,,
p,ə,r,a,ː,k,r,ə,m,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,a,ː,n,,,,,,,,,,,,,,,,,,,,
a,b,̤,i,n,ə,n,d,ə,n,,,,,,,,,,,,,,,,,
t,e,d,͡,ʑ,ə,s,v,i,ː,,,,,,,,,,,,,,,,,
b,e,t,t,e,r,,,,,,,,,,,,,,,,,,,,,
s,ə,ŋ,k,ɕ,i,p,t,ə,,,,,,,,,,,,,,,,,,
t,e,d,͡,ʑ,ə,,,,,,,,,,,,,,,,,,,,,
v,ə,r,i,ʂ,ʈ,ʰ,ə,,,,,,,,,,,,,,,,,,,
s,a,ː,v,ə,d,̤,,,,,,,,,,,,,,,,,,,,
p,u,r,e,ɕ,i,ː,,,,,,,,,,,,,,,,,,,,
m,a,ː,l,ə,k,,,,,,,,,,,,,,,,,,,,,
l,ə,k,ɕ,ə,ɳ,i,ː,j,,,,,,,,,,,,,,,,,,
m,u,ː,l,j,ə,,,,,,,,,,,,,,,,,,,,,
s,ə,m,p,n,n,ə,,,,,,,,,,,,,,,,,,,,
v,i,d,͡,ʑ,e,t,e,,,,,,,,,,,,,,,,,,,
c,o,r,r,e,c,t,,,,,,,,,,,,,,,,,,,,
v,i,m,a,ː,,,,,,,,,,,,,,,,,,,,,,
k,ʰ,j,a,ː,t,i,ː,,,,,,,,,,,,,,,,,,,
k,ɔ,ː,ɕ,ə,l,j,ə,,,,,,,,,,,,,,,,,,,
s,o,n,e,r,i,ː,,,,,,,,,,,,,,,,,,,,
v,i,n,o,d,,,,,,,,,,,,,,,,,,,,,,
b,ə,ɭ,ə,k,ə,ʈ,,,,,,,,,,,,,,,,,,,,
s,t,u,t,i,ː,,,,,,,,,,,,,,,,,,,,,
p,r,ə,ɕ,ə,s,t,ə,,,,,,,,,,,,,,,,,,,
ɡ,̤,ə,n,,,,,,,,,,,,,,,,,,,,,,,
s,i,g,n,i,f,i,c,a,n,t,,,,,,,,,,,,,,,,
m,ə,ɦ,t,v,ə,,,,,,,,,,,,,,,,,,,,,
k,ʰ,j,a,ː,t,n,a,ː,m,,,,,,,,,,,,,,,,,
a,ː,k,r,ʂ,ə,k,,,,,,,,,,,,,,,,,,,,
a,ː,ɕ,t,͡,ɕ,ə,r,j,ə,,,,,,,,,,,,,,,,,
s,ə,r,v,ə,ɕ,r,e,ʂ,ʈ,ʰ,ə,,,,,,,,,,,,,,,
p,ə,r,i,ɳ,a,ː,m,k,a,ː,r,ə,k,,,,,,,,,,,,,
t,͡,ɕ,ə,m,t,k,a,ː,r,,,,,,,,,,,,,,,,,
s,v,ə,s,t,ə,,,,,,,,,,,,,,,,,,,,,
c,l,e,a,r,,,,,,,,,,,,,,,,,,,,,,
p,r,ə,b,̤,u,t,v,ə,,,,,,,,,,,,,,,,,,
v,a,r,i,e,t,y,,,,,,,,,,,,,,,,,,,,
k,ɕ,ə,m,a,ː,,,,,,,,,,,,,,,,,,,,,
s,u,t,͡,ɕ,ə,n,a,ː,,,,,,,,,,,,,,,,,,
k,ɔ,ː,t,u,k,,,,,,,,,,,,,,,,,,,,,
a,ː,ɕ,i,ː,r,v,a,ː,d,,,,,,,,,,,,,,,,,
s,o,p,a,ː,,,,,,,,,,,,,,,,,,,,,,
f,a,m,o,u,s,,,,,,,,,,,,,,,,,,,,,
f,a,i,r,,,,,,,,,,,,,,,,,,,,,,,
s,u,r,e,k,ʰ,,,,,,,,,,,,,,,,,,,,,
s,o,l,i,d,,,,,,,,,,,,,,,,,,,,,,
s,ə,k,a,ː,r,a,ː,t,m,ə,k,,,,,,,,,,,,,,,
v,i,ɦ,i,ː,r,,,,,,,,,,,,,,,,,,,,,
r,a,ː,d,͡,ʑ,a,ː,t,͡,ɕ,a,ː,,,,,,,,,,,,,,
r,ə,t,n,ə,,,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,ː,ɖ,̤,,,,,,,,,,,,,,,,,,,,,
p,ə,k,k,a,ː,,,,,,,,,,,,,,,,,,,,,
ɦ,u,ɕ,a,ː,r,,,,,,,,,,,,,,,,,,,,,
s,a,ː,d,̤,i,ː,,,,,,,,,,,,,,,,,,,,
p,ə,r,a,ː,k,r,ə,m,i,ː,,,,,,,,,,,,,,,,
k,i,ː,r,t,i,ː,,,,,,,,,,,,,,,,,,,,
u,t,p,a,ː,d,ə,k,,,,,,,,,,,,,,,,,,,
v,e,ɡ,v,a,ː,n,,,,,,,,,,,,,,,,,,,,
l,ɔ,ː,k,i,k,,,,,,,,,,,,,,,,,,,,,
p,u,r,e,s,a,ː,,,,,,,,,,,,,,,,,,,,
l,e,a,d,,,,,,,,,,,,,,,,,,,,,,,
a,w,a,r,d,s,,,,,,,,,,,,,,,,,,,,,
ɕ,a,ː,ɕ,v,ə,t,,,,,,,,,,,,,,,,,,,,
r,ə,ŋ,ɡ,i,ː,t,,,,,,,,,,,,,,,,,,,,
p,u,r,o,ɡ,a,ː,m,i,ː,,,,,,,,,,,,,,,,,
k,ə,ɭ,ə,s,,,,,,,,,,,,,,,,,,,,,,
s,u,c,c,e,s,s,f,u,l,,,,,,,,,,,,,,,,,
ɡ,u,ɳ,v,ə,t,t,a,ː,,,,,,,,,,,,,,,,,,
a,s,a,ː,m,a,ː,n,j,ə,,,,,,,,,,,,,,,,,
p,r,o,t,e,c,t,,,,,,,,,,,,,,,,,,,,
ɕ,i,p,ʰ,a,ː,r,ə,s,,,,,,,,,,,,,,,,,,
d,æ,ː,v,i,ː,,,,,,,,,,,,,,,,,,,,,
l,o,v,e,,,,,,,,,,,,,,,,,,,,,,,
c,e,l,e,b,r,a,t,e,d,,,,,,,,,,,,,,,,,
ɕ,u,ː,r,,,,,,,,,,,,,,,,,,,,,,,
n,æ,ː,t,i,k,,,,,,,,,,,,,,,,,,,,,
d,ə,j,a,ː,,,,,,,,,,,,,,,,,,,,,,
s,u,p,p,o,r,t,e,d,,,,,,,,,,,,,,,,,,
i,m,p,r,o,v,e,,,,,,,,,,,,,,,,,,,,
s,a,ː,ŋ,ɡ,ɳ,e,,,,,,,,,,,,,,,,,,,,
k,ʰ,ə,d,͡,ʑ,i,n,a,ː,,,,,,,,,,,,,,,,,
u,t,s,u,k,,,,,,,,,,,,,,,,,,,,,,
s,u,k,ʰ,i,ː,,,,,,,,,,,,,,,,,,,,,
v,i,ɕ,v,a,ː,s,a,ː,r,ɦ,ə,,,,,,,,,,,,,,,
a,p,ʰ,a,ː,ʈ,,,,,,,,,,,,,,,,,,,,,
r,e,s,p,e,c,t,,,,,,,,,,,,,,,,,,,,
s,ə,t,k,a,ː,r,,,,,,,,,,,,,,,,,,,,
b,u,d,d,̤,i,ː,,,,,,,,,,,,,,,,,,,,
a,ː,t,m,ə,v,i,ɕ,v,a,ː,s,,,,,,,,,,,,,,,
s,u,c,c,e,s,s,,,,,,,,,,,,,,,,,,,,
p,r,o,p,e,r,,,,,,,,,,,,,,,,,,,,,
l,e,a,d,i,n,g,,,,,,,,,,,,,,,,,,,,
h,o,t,,,,,,,,,,,,,,,,,,,,,,,,
a,d,v,a,n,c,e,d,,,,,,,,,,,,,,,,,,,
ɕ,ə,k,t,i,ɕ,a,ː,l,i,ː,,,,,,,,,,,,,,,,
p,ə,s,ə,n,t,i,ː,,,,,,,,,,,,,,,,,,,
p,r,ə,t,i,ʂ,ʈ,ʰ,i,t,,,,,,,,,,,,,,,,,
o,ɖ,̤,,,,,,,,,,,,,,,,,,,,,,,,
m,o,r,a,l,i,t,y,,,,,,,,,,,,,,,,,,,
e,a,s,y,,,,,,,,,,,,,,,,,,,,,,,
c,o,r,r,e,c,t,l,y,,,,,,,,,,,,,,,,,,
s,u,b,o,d,̤,,,,,,,,,,,,,,,,,,,,,
s,u,d,̤,a,ː,r,i,t,,,,,,,,,,,,,,,,,,
s,a,ː,d,̤,ə,k,,,,,,,,,,,,,,,,,,,,
v,i,d,̤,a,ː,j,ə,k,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,a,ː,p,,,,,,,,,,,,,,,,,,,,
s,u,p,p,o,r,t,s,,,,,,,,,,,,,,,,,,,
ɕ,u,b,̤,,,,,,,,,,,,,,,,,,,,,,,
u,d,a,ː,r,,,,,,,,,,,,,,,,,,,,,,
a,ː,n,ə,n,d,a,ː,n,e,,,,,,,,,,,,,,,,,
w,i,n,,,,,,,,,,,,,,,,,,,,,,,,
a,w,a,r,d,,,,,,,,,,,,,,,,,,,,,,
v,i,ɕ,v,a,ː,s,u,ː,,,,,,,,,,,,,,,,,,
b,̤,ə,r,b,̤,ə,r,a,ː,ʈ,,,,,,,,,,,,,,,,
p,ʰ,a,ː,j,d,e,,,,,,,,,,,,,,,,,,,,
p,u,ː,r,ə,k,,,,,,,,,,,,,,,,,,,,,
p,ə,r,m,a,ː,n,ə,n,d,ə,,,,,,,,,,,,,,,,
u,t,s,a,ː,ɦ,,,,,,,,,,,,,,,,,,,,,
ɕ,o,b,̤,a,ː,,,,,,,,,,,,,,,,,,,,,
m,ə,n,a,ː,p,a,ː,s,u,ː,n,,,,,,,,,,,,,,,
ɡ,o,l,ɖ,ə,n,,,,,,,,,,,,,,,,,,,,,
s,t,ə,r,a,ː,v,r,i,ː,l,,,,,,,,,,,,,,,,
s,u,k,ə,r,,,,,,,,,,,,,,,,,,,,,,
v,æ,ː,b,̤,ə,v,,,,,,,,,,,,,,,,,,,,
n,i,ʂ,ʈ,ʰ,a,ː,,,,,,,,,,,,,,,,,,,,
n,i,t,a,ː,n,t,ə,,,,,,,,,,,,,,,,,,,
b,̤,ə,v,i,ʂ,j,ə,,,,,,,,,,,,,,,,,,,
p,r,ə,v,r,̩,t,t,ə,,,,,,,,,,,,,,,,,,
p,a,ː,r,ə,ŋ,ɡ,ə,t,,,,,,,,,,,,,,,,,,
t,a,ː,b,ɖ,ə,t,o,b,,,,,,,,,,,,,,,,,,
u,l,ɦ,a,ː,s,,,,,,,,,,,,,,,,,,,,,
r,e,l,i,a,b,l,e,,,,,,,,,,,,,,,,,,,
r,e,c,o,m,m,e,n,d,e,d,,,,,,,,,,,,,,,,
a,w,a,r,d,e,d,,,,,,,,,,,,,,,,,,,,
s,u,ɕ,i,k,ɕ,i,t,,,,,,,,,,,,,,,,,,,
m,a,ː,p,ʰ,i,ː,,,,,,,,,,,,,,,,,,,,
d,a,ː,ɡ,i,n,e,,,,,,,,,,,,,,,,,,,,
w,i,n,n,i,n,g,,,,,,,,,,,,,,,,,,,,
p,o,s,i,t,i,v,e,,,,,,,,,,,,,,,,,,,
s,u,p,i,ː,k,,,,,,,,,,,,,,,,,,,,,
v,i,ɕ,r,a,ː,n,t,i,ː,,,,,,,,,,,,,,,,,
v,ə,s,u,ː,l,,,,,,,,,,,,,,,,,,,,,
p,r,a,ː,m,a,ː,ɳ,i,k,,,,,,,,,,,,,,,,,
t,͡,ɕ,ə,m,ə,k,,,,,,,,,,,,,,,,,,,,
æ,ː,k,j,ə,,,,,,,,,,,,,,,,,,,,,,
b,e,n,e,f,i,t,,,,,,,,,,,,,,,,,,,,
a,t,t,r,a,c,t,i,o,n,,,,,,,,,,,,,,,,,
m,a,ː,n,j,ə,t,a,ː,p,r,a,ː,p,t,ə,,,,,,,,,,,
k,a,ː,r,j,ə,k,ɕ,ə,m,t,a,ː,,,,,,,,,,,,,,
s,u,c,c,e,s,s,f,u,l,l,y,,,,,,,,,,,,,,,
r,e,f,o,r,m,s,,,,,,,,,,,,,,,,,,,,
p,r,o,t,e,c,t,i,o,n,,,,,,,,,,,,,,,,,
g,a,i,n,e,d,,,,,,,,,,,,,,,,,,,,,
s,ə,n,v,e,d,n,ə,ɕ,i,ː,l,,,,,,,,,,,,,,,
a,ː,b,̤,a,ː,r,,,,,,,,,,,,,,,,,,,,
e,a,s,i,e,r,,,,,,,,,,,,,,,,,,,,,
ɦ,ə,m,i,ː,,,,,,,,,,,,,,,,,,,,,,
a,s,s,ə,l,,,,,,,,,,,,,,,,,,,,,,
r,a,ː,k,ʰ,l,e,,,,,,,,,,,,,,,,,,,,
p,r,ə,ɕ,ə,n,s,a,ː,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ə,m,k,ə,d,a,ː,r,,,,,,,,,,,,,,,,
ɡ,ə,m,m,ə,t,,,,,,,,,,,,,,,,,,,,,
s,i,d,d,̤,i,ː,,,,,,,,,,,,,,,,,,,,
s,ə,r,v,ə,s,m,a,ː,v,e,ɕ,ə,k,,,,,,,,,,,,,
n,i,r,d,o,ʂ,,,,,,,,,,,,,,,,,,,,,
w,e,l,c,o,m,e,,,,,,,,,,,,,,,,,,,,
p,r,o,p,e,r,l,y,,,,,,,,,,,,,,,,,,,
s,u,s,ə,n,s,k,r,̩,t,,,,,,,,,,,,,,,,,
s,ə,m,t,o,l,,,,,,,,,,,,,,,,,,,,,
v,i,l,a,ː,s,,,,,,,,,,,,,,,,,,,,,
b,̤,a,ː,ɡ,j,ə,,,,,,,,,,,,,,,,,,,,
b,̤,ə,l,e,,,,,,,,,,,,,,,,,,,,,,
p,r,ə,t,i,ʂ,ʈ,ʰ,a,ː,,,,,,,,,,,,,,,,,
e,k,t,a,ː,,,,,,,,,,,,,,,,,,,,,,
w,o,r,k,e,d,,,,,,,,,,,,,,,,,,,,,
s,u,p,p,o,r,t,i,n,g,,,,,,,,,,,,,,,,,
s,u,f,f,i,c,i,e,n,t,,,,,,,,,,,,,,,,,
p,r,o,m,i,n,e,n,t,,,,,,,,,,,,,,,,,,
s,a,ː,ɦ,s,i,ː,,,,,,,,,,,,,,,,,,,,
s,ə,m,r,̩,d,d,̤,i,ː,,,,,,,,,,,,,,,,,
s,ə,n,v,e,d,n,a,ː,,,,,,,,,,,,,,,,,,
s,ə,n,t,u,l,i,t,,,,,,,,,,,,,,,,,,,
ɕ,ɔ,ː,r,j,ə,,,,,,,,,,,,,,,,,,,,,
b,̤,ə,r,ɡ,̤,o,s,,,,,,,,,,,,,,,,,,,
u,t,s,a,ː,ɦ,i,ː,,,,,,,,,,,,,,,,,,,
a,d,v,i,t,i,ː,j,,,,,,,,,,,,,,,,,,,
d,e,f,e,a,t,e,d,,,,,,,,,,,,,,,,,,,
b,ə,t,͡,ɕ,ə,t,,,,,,,,,,,,,,,,,,,,
n,i,r,o,ɡ,i,ː,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ə,t,u,r,,,,,,,,,,,,,,,,,,,,
r,i,c,h,,,,,,,,,,,,,,,,,,,,,,,
h,u,m,o,u,r,,,,,,,,,,,,,,,,,,,,,
g,o,l,d,,,,,,,,,,,,,,,,,,,,,,,
f,a,i,r,l,y,,,,,,,,,,,,,,,,,,,,,
c,l,e,a,r,l,y,,,,,,,,,,,,,,,,,,,,
s,ə,ɦ,ə,d,͡,ʑ,ə,t,e,n,e,,,,,,,,,,,,,,,
ɕ,r,e,j,s,k,ə,r,,,,,,,,,,,,,,,,,,,
j,ə,ɕ,ə,s,v,i,ː,r,i,t,j,a,ː,,,,,,,,,,,,,
b,ə,k,ɕ,i,ː,s,,,,,,,,,,,,,,,,,,,,
t,a,ː,t,ɖ,i,ː,n,e,,,,,,,,,,,,,,,,,,
d,͡,ʑ,a,ː,d,u,ː,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,a,ː,ɦ,t,e,,,,,,,,,,,,,,,,,,,
v,i,c,t,o,r,y,,,,,,,,,,,,,,,,,,,,
r,e,a,d,y,,,,,,,,,,,,,,,,,,,,,,
g,r,e,a,t,e,s,t,,,,,,,,,,,,,,,,,,,
f,a,s,t,,,,,,,,,,,,,,,,,,,,,,,
s,ə,b,̤,j,ə,t,a,ː,,,,,,,,,,,,,,,,,,
m,o,ɦ,ə,k,,,,,,,,,,,,,,,,,,,,,,
b,u,d,d,̤,i,m,a,ː,n,,,,,,,,,,,,,,,,,
a,ː,n,ə,n,d,i,ː,,,,,,,,,,,,,,,,,,,
h,e,l,p,i,n,g,,,,,,,,,,,,,,,,,,,,
f,r,i,e,n,d,l,y,,,,,,,,,,,,,,,,,,,
e,f,f,e,c,t,i,v,e,,,,,,,,,,,,,,,,,,
d,o,m,i,n,a,t,e,d,,,,,,,,,,,,,,,,,,
c,o,n,t,r,i,b,u,t,i,o,n,,,,,,,,,,,,,,,
s,u,s,ə,ŋ,ɡ,ə,t,,,,,,,,,,,,,,,,,,,
m,a,ː,r,m,i,k,,,,,,,,,,,,,,,,,,,,
b,a,ː,n,d,̤,i,l,k,i,ː,,,,,,,,,,,,,,,,
n,i,r,m,ə,ɭ,ə,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,ə,v,ə,ɭ,i,ː,k,,,,,,,,,,,,,,,,,
a,ː,b,̤,a,ː,s,,,,,,,,,,,,,,,,,,,,
a,b,̤,u,ː,t,p,u,ː,r,v,ə,,,,,,,,,,,,,,,
a,k,ɕ,ə,r,ə,ɕ,ə,,,,,,,,,,,,,,,,,,,
s,e,n,s,i,t,i,v,e,,,,,,,,,,,,,,,,,,
s,v,ə,r,ɡ,ə,,,,,,,,,,,,,,,,,,,,,
s,u,v,a,ː,s,i,k,,,,,,,,,,,,,,,,,,,
l,ə,v,ə,t,͡,ɕ,i,k,,,,,,,,,,,,,,,,,,
b,ə,l,v,a,ː,n,,,,,,,,,,,,,,,,,,,,
p,r,a,ː,b,l,j,ə,,,,,,,,,,,,,,,,,,,
