12881,s,o,j,,,,,,,,,,,,,,,,,,,
12882,m,ə,ɦ,t,t,v,aː,t͡ɕ,iː,,,,,,,,,,,,,
12883,v,aː,ɖ̤,,,,,,,,,,,,,,,,,,,
12884,s,i,d,d̤,ə,,,,,,,,,,,,,,,,,
12885,s,ə,m,r,tʰ,ə,,,,,,,,,,,,,,,,
12886,s,u,v,i,d̤,aː,,,,,,,,,,,,,,,,
12887,p,uː,r,ɳ,ə,p,ɳ,e,,,,,,,,,,,,,,
12888,j,ə,ɕ,ə,,,,,,,,,,,,,,,,,,
12889,s,ə,ɦ,ə,d͡ʑ,ə,,,,,,,,,,,,,,,,
12890,w,e,l,l,,,,,,,,,,,,,,,,,,
12891,m,ə,ɦ,t,t,v,aː,t͡ɕ,aː,,,,,,,,,,,,,
12892,p,r,ə,k,aː,ɕ,ə,,,,,,,,,,,,,,,
12893,s,u,d̤,aː,r,ɳ,aː,,,,,,,,,,,,,,,
12894,s,ə,n,r,ə,k,ɕ,ə,ɳ,,,,,,,,,,,,,
12895,u,d,aː,ɦ,r,ə,ɳ,,,,,,,,,,,,,,,
12896,s,o,p,e,,,,,,,,,,,,,,,,,,
12897,pʰ,ə,r,ə,k,,,,,,,,,,,,,,,,,
12898,i,m,p,o,r,t,a,n,t,,,,,,,,,,,,,
12899,v,i,ɕ,v,aː,s,,,,,,,,,,,,,,,,
12900,f,r,e,e,,,,,,,,,,,,,,,,,,
12901,m,aː,n,j,ə,t,aː,,,,,,,,,,,,,,,
12902,m,aː,r,ɡ,ə,d,r,ɕ,ə,n,,,,,,,,,,,,
12903,s,u,p,p,o,r,t,,,,,,,,,,,,,,,
12904,pʰ,aː,j,d,aː,,,,,,,,,,,,,,,,,
12905,p,ə,v,i,t,r,ə,,,,,,,,,,,,,,,
12906,p,ə,n,ɖ,i,t,,,,,,,,,,,,,,,,
12907,s,ə,ɦ,k,aː,r,iː,,,,,,,,,,,,,,,
12908,t͡ɕ,aː,ŋ,ɡ,l,e,,,,,,,,,,,,,,,,
12909,ɕ,ə,k,t,iː,,,,,,,,,,,,,,,,,
12910,p,r,ə,ɡ,t,iː,,,,,,,,,,,,,,,,
12911,aː,d̤,aː,r,,,,,,,,,,,,,,,,,,
12912,s,ə,n,m,aː,n,,,,,,,,,,,,,,,,
12913,v,aː,ɖ̤,t,e,,,,,,,,,,,,,,,,,
12914,p,r,e,m,,,,,,,,,,,,,,,,,,
12915,b̤,ə,v,j,ə,,,,,,,,,,,,,,,,,
12916,p,aː,r,i,t,o,ʂ,i,k,,,,,,,,,,,,,
12917,u,t,s,ə,v,,,,,,,,,,,,,,,,,
12918,t,o,p,,,,,,,,,,,,,,,,,,,
12919,a,v,a,i,l,a,b,l,e,,,,,,,,,,,,,
12920,v,e,ɡ,aː,n,e,,,,,,,,,,,,,,,,
12921,u,p,j,u,k,t,ə,,,,,,,,,,,,,,,
12922,u,p,aː,j,,,,,,,,,,,,,,,,,,
12923,kʰ,aː,t,r,iː,,,,,,,,,,,,,,,,,
12924,d̤,ə,n,j,ə,v,aː,d,,,,,,,,,,,,,,
12925,p,r,ə,b̤,aː,v,iː,,,,,,,,,,,,,,,
12926,ɡ,ɔː,r,ə,v,,,,,,,,,,,,,,,,,
12927,s,v,aː,j,t,t,ə,,,,,,,,,,,,,,,
12928,ɕ,r,iː,m,ə,n,t,ə,,,,,,,,,,,,,,
12929,g,o,o,d,,,,,,,,,,,,,,,,,,
12930,k,ə,r,aː,r,,,,,,,,,,,,,,,,,
12931,t͡ɕ,aː,ŋ,ɡ,l,aː,,,,,,,,,,,,,,,,
12932,k,aː,m,ɡ,i,r,iː,,,,,,,,,,,,,,,
12933,s,u,r,ə,k,ɕ,i,t,,,,,,,,,,,,,,
12934,t͡ɕ,aː,ŋ,ɡ,l,iː,,,,,,,,,,,,,,,,
12935,p,u,ʂ,k,ə,ɭ,ə,,,,,,,,,,,,,,,
12936,t͡ɕ,aː,ŋ,ɡ,l,j,aː,,,,,,,,,,,,,,,
12937,p,o,p,u,l,a,r,,,,,,,,,,,,,,,
12938,m,o,d,e,r,n,,,,,,,,,,,,,,,,
12939,t,ə,r,u,ɳ,,,,,,,,,,,,,,,,,
12940,u,t,k,r̩,ʂ,ʈ,ə,,,,,,,,,,,,,,,
12941,aː,d,r,ɕ,ə,,,,,,,,,,,,,,,,,
12942,s,aː,r,kʰ,e,,,,,,,,,,,,,,,,,
12943,k,i,m,m,ə,t,,,,,,,,,,,,,,,,
12944,ɕ,r,e,ʂ,ʈʰ,ə,,,,,,,,,,,,,,,,
12945,p,r,e,r,ɳ,aː,,,,,,,,,,,,,,,,
12946,kʰ,o,l,,,,,,,,,,,,,,,,,,,
12947,s,ə,r,v,o,t,k,r̩,ʂ,ʈ,ə,,,,,,,,,,,
12948,s,ə,m,r,tʰ,ə,n,,,,,,,,,,,,,,,
12949,b,aː,t,m,iː,,,,,,,,,,,,,,,,,
12950,ɡ,o,ɖ,,,,,,,,,,,,,,,,,,,
12951,w,o,r,k,s,,,,,,,,,,,,,,,,,
12952,u,ʂ,ɳ,ə,,,,,,,,,,,,,,,,,,
12953,a,b̤,i,d͡ʑ,aː,t,,,,,,,,,,,,,,,,
12954,p,r,ə,ɡ,ə,t,,,,,,,,,,,,,,,,
12955,kʰ,ə,r,aː,,,,,,,,,,,,,,,,,,
12956,p,r,ə,s,n,n,ə,,,,,,,,,,,,,,,
12957,ɡ,ə,r,ə,m,,,,,,,,,,,,,,,,,
12958,s,ə,m,aː,d̤,aː,n,,,,,,,,,,,,,,,
12959,a,t͡ɕ,uː,k,,,,,,,,,,,,,,,,,,
12960,s,u,kʰ,,,,,,,,,,,,,,,,,,,
12961,ɕ,r,ə,d,d̤,aː,,,,,,,,,,,,,,,,
12962,ɕ,aː,n,t,ə,,,,,,,,,,,,,,,,,
12963,s,u,p,r,ə,s,i,d,d̤,ə,,,,,,,,,,,,
12964,s,ə,n,t,o,ʂ,,,,,,,,,,,,,,,,
12965,d͡ʑ,ə,l,ə,d,,,,,,,,,,,,,,,,,
12966,aː,k,r,ʂ,ə,ɳ,,,,,,,,,,,,,,,,
12967,tʰ,o,r,,,,,,,,,,,,,,,,,,,
12968,ɦ,aː,t,b̤,aː,r,,,,,,,,,,,,,,,,
12969,b,e,s,t,,,,,,,,,,,,,,,,,,
12970,v,i,n,o,d,iː,,,,,,,,,,,,,,,,
12971,p,ə,s,ə,n,t,ə,,,,,,,,,,,,,,,
12972,aː,v,ə,ɖ,,,,,,,,,,,,,,,,,,
12973,s,aː,t,t,j,aː,n,e,,,,,,,,,,,,,,
12974,k,aː,r,ɳ,iː,b̤,uː,t,,,,,,,,,,,,,,
12975,p,r,ə,b̤,aː,v,i,t,,,,,,,,,,,,,,
12976,w,o,n,,,,,,,,,,,,,,,,,,,
12977,v,ə,t͡ɕ,ə,n,,,,,,,,,,,,,,,,,
12978,s,ə,n,l,ɡ,n,ə,,,,,,,,,,,,,,,
12979,v,j,ə,v,s,tʰ,i,t,,,,,,,,,,,,,,
12980,p,r,ə,kʰ,j,aː,t,,,,,,,,,,,,,,,
12981,m,ə,d͡ʑ,ə,b,uː,t,,,,,,,,,,,,,,,
12982,n,e,m,k,e,,,,,,,,,,,,,,,,,
12983,d͡ʑ,aː,ɡ,r̩,t,,,,,,,,,,,,,,,,,
12984,s,ɔː,m,j,ə,,,,,,,,,,,,,,,,,
12985,v,i,d͡ʑ,e,t,aː,,,,,,,,,,,,,,,,
12986,g,r,e,a,t,,,,,,,,,,,,,,,,,
12987,p,ə,r,aː,b̤,uː,t,,,,,,,,,,,,,,,
12988,s,v,ə,t͡ɕ,t͡ɕʰ,ə,,,,,,,,,,,,,,,,
12989,v,j,aː,p,ə,k,,,,,,,,,,,,,,,,
12990,v,aː,ɖ̤,l,e,,,,,,,,,,,,,,,,,
12991,l,e,d,,,,,,,,,,,,,,,,,,,
12992,a,p,p,r,o,p,r,i,a,t,e,,,,,,,,,,,
12993,ɕ,aː,n,t,t,aː,,,,,,,,,,,,,,,,
12994,m,ə,d̤,u,r,,,,,,,,,,,,,,,,,
12995,v,æː,ɕ,i,ʂ,ʈ,j,e,,,,,,,,,,,,,,
12996,p,ə,r,i,p,uː,r,ɳ,ə,,,,,,,,,,,,,
12997,s,u,l,ə,b̤,,,,,,,,,,,,,,,,,
12998,aː,d,ə,r,,,,,,,,,,,,,,,,,,
12999,a,n,u,k,uː,l,,,,,,,,,,,,,,,,
13000,s,ɔː,n,d,r,j,ə,,,,,,,,,,,,,,,
13001,s,o,n,e,,,,,,,,,,,,,,,,,,
13002,s,aː,pʰ,,,,,,,,,,,,,,,,,,,
13003,k,aː,j,d,e,ɕ,iː,r,,,,,,,,,,,,,,
13004,s,t,r,o,n,g,,,,,,,,,,,,,,,,
13005,u,s,e,f,u,l,,,,,,,,,,,,,,,,
13006,f,r,e,e,d,o,m,,,,,,,,,,,,,,,
13007,v,i,p,u,l,,,,,,,,,,,,,,,,,
13008,m,u,k,t,iː,,,,,,,,,,,,,,,,,
13009,d,r̩,ʂ,ʈ,iː,,,,,,,,,,,,,,,,,
13010,t,e,ɦ,iː,,,,,,,,,,,,,,,,,,
13011,v,i,v,i,d̤,t,aː,,,,,,,,,,,,,,,
13012,k,u,ɕ,ə,l,,,,,,,,,,,,,,,,,
13013,e,n,o,u,g,h,,,,,,,,,,,,,,,,
13014,pʰ,uː,l,,,,,,,,,,,,,,,,,,,
13015,p,ə,r,aː,k,r,ə,m,,,,,,,,,,,,,,
13016,t͡ɕʰ,aː,n,,,,,,,,,,,,,,,,,,,
13017,a,b̤,i,n,ə,n,d,ə,n,,,,,,,,,,,,,
13018,t,e,d͡ʑ,ə,s,v,iː,,,,,,,,,,,,,,,
13019,b,e,t,t,e,r,,,,,,,,,,,,,,,,
13020,s,ə,ŋ,k,ɕ,i,p,t,ə,,,,,,,,,,,,,
13021,t,e,d͡ʑ,ə,,,,,,,,,,,,,,,,,,
13022,v,ə,r,i,ʂ,ʈʰ,ə,,,,,,,,,,,,,,,
13023,s,aː,v,ə,d̤,,,,,,,,,,,,,,,,,
13024,p,u,r,e,ɕ,iː,,,,,,,,,,,,,,,,
13025,m,aː,l,ə,k,,,,,,,,,,,,,,,,,
13026,l,ə,k,ɕ,ə,ɳ,iː,j,,,,,,,,,,,,,,
13027,m,uː,l,j,ə,,,,,,,,,,,,,,,,,
13028,s,ə,m,p,n,n,ə,,,,,,,,,,,,,,,
13029,v,i,d͡ʑ,e,t,e,,,,,,,,,,,,,,,,
13030,c,o,r,r,e,c,t,,,,,,,,,,,,,,,
13031,v,i,m,aː,,,,,,,,,,,,,,,,,,
13032,kʰ,j,aː,t,iː,,,,,,,,,,,,,,,,,
13033,k,ɔː,ɕ,ə,l,j,ə,,,,,,,,,,,,,,,
13034,s,o,n,e,r,iː,,,,,,,,,,,,,,,,
13035,v,i,n,o,d,,,,,,,,,,,,,,,,,
13036,b,ə,ɭ,ə,k,ə,ʈ,,,,,,,,,,,,,,,
13037,s,t,u,t,iː,,,,,,,,,,,,,,,,,
13038,p,r,ə,ɕ,ə,s,t,ə,,,,,,,,,,,,,,
13039,ɡ̤,ə,n,,,,,,,,,,,,,,,,,,,
13040,s,i,g,n,i,f,i,c,a,n,t,,,,,,,,,,,
13041,m,ə,ɦ,t,v,ə,,,,,,,,,,,,,,,,
13042,kʰ,j,aː,t,n,aː,m,,,,,,,,,,,,,,,
13043,aː,k,r,ʂ,ə,k,,,,,,,,,,,,,,,,
13044,aː,ɕ,t͡ɕ,ə,r,j,ə,,,,,,,,,,,,,,,
13045,s,ə,r,v,ə,ɕ,r,e,ʂ,ʈʰ,ə,,,,,,,,,,,
13046,p,ə,r,i,ɳ,aː,m,k,aː,r,ə,k,,,,,,,,,,
13047,t͡ɕ,ə,m,t,k,aː,r,,,,,,,,,,,,,,,
13048,s,v,ə,s,t,ə,,,,,,,,,,,,,,,,
13049,c,l,e,a,r,,,,,,,,,,,,,,,,,
13050,p,r,ə,b̤,u,t,v,ə,,,,,,,,,,,,,,
13051,v,a,r,i,e,t,y,,,,,,,,,,,,,,,
13052,k,ɕ,ə,m,aː,,,,,,,,,,,,,,,,,
13053,s,u,t͡ɕ,ə,n,aː,,,,,,,,,,,,,,,,
13054,k,ɔː,t,u,k,,,,,,,,,,,,,,,,,
13055,aː,ɕ,iː,r,v,aː,d,,,,,,,,,,,,,,,
13056,s,o,p,aː,,,,,,,,,,,,,,,,,,
13057,f,a,m,o,u,s,,,,,,,,,,,,,,,,
13058,f,a,i,r,,,,,,,,,,,,,,,,,,
13059,s,u,r,e,kʰ,,,,,,,,,,,,,,,,,
13060,s,o,l,i,d,,,,,,,,,,,,,,,,,
13061,s,ə,k,aː,r,aː,t,m,ə,k,,,,,,,,,,,,
13062,v,i,ɦ,iː,r,,,,,,,,,,,,,,,,,
13063,r,aː,d͡ʑ,aː,t͡ɕ,aː,,,,,,,,,,,,,,,,
13064,r,ə,t,n,ə,,,,,,,,,,,,,,,,,
13065,p,r,ɔː,ɖ̤,,,,,,,,,,,,,,,,,,
13066,p,ə,k,k,aː,,,,,,,,,,,,,,,,,
13067,ɦ,u,ɕ,aː,r,,,,,,,,,,,,,,,,,
13068,s,aː,d̤,iː,,,,,,,,,,,,,,,,,,
13069,p,ə,r,aː,k,r,ə,m,iː,,,,,,,,,,,,,
13070,k,iː,r,t,iː,,,,,,,,,,,,,,,,,
13071,u,t,p,aː,d,ə,k,,,,,,,,,,,,,,,
13072,v,e,ɡ,v,aː,n,,,,,,,,,,,,,,,,
13073,l,ɔː,k,i,k,,,,,,,,,,,,,,,,,
13074,p,u,r,e,s,aː,,,,,,,,,,,,,,,,
13075,l,e,a,d,,,,,,,,,,,,,,,,,,
13076,a,w,a,r,d,s,,,,,,,,,,,,,,,,
13077,ɕ,aː,ɕ,v,ə,t,,,,,,,,,,,,,,,,
13078,r,ə,ŋ,ɡ,iː,t,,,,,,,,,,,,,,,,
13079,p,u,r,o,ɡ,aː,m,iː,,,,,,,,,,,,,,
13080,k,ə,ɭ,ə,s,,,,,,,,,,,,,,,,,
13081,s,u,c,c,e,s,s,f,u,l,,,,,,,,,,,,
13082,ɡ,u,ɳ,v,ə,t,t,aː,,,,,,,,,,,,,,
13083,a,s,aː,m,aː,n,j,ə,,,,,,,,,,,,,,
13084,p,r,o,t,e,c,t,,,,,,,,,,,,,,,
13085,ɕ,i,pʰ,aː,r,ə,s,,,,,,,,,,,,,,,
13086,d,æː,v,iː,,,,,,,,,,,,,,,,,,
13087,l,o,v,e,,,,,,,,,,,,,,,,,,
13088,c,e,l,e,b,r,a,t,e,d,,,,,,,,,,,,
13089,ɕ,uː,r,,,,,,,,,,,,,,,,,,,
13090,n,æː,t,i,k,,,,,,,,,,,,,,,,,
13091,d,ə,j,aː,,,,,,,,,,,,,,,,,,
13092,s,u,p,p,o,r,t,e,d,,,,,,,,,,,,,
13093,i,m,p,r,o,v,e,,,,,,,,,,,,,,,
13094,s,aː,ŋ,ɡ,ɳ,e,,,,,,,,,,,,,,,,
13095,kʰ,ə,d͡ʑ,i,n,aː,,,,,,,,,,,,,,,,
13096,u,t,s,u,k,,,,,,,,,,,,,,,,,
13097,s,u,kʰ,iː,,,,,,,,,,,,,,,,,,
13098,v,i,ɕ,v,aː,s,aː,r,ɦ,ə,,,,,,,,,,,,
13099,a,pʰ,aː,ʈ,,,,,,,,,,,,,,,,,,
13100,r,e,s,p,e,c,t,,,,,,,,,,,,,,,
13101,s,ə,t,k,aː,r,,,,,,,,,,,,,,,,
13102,b,u,d,d̤,iː,,,,,,,,,,,,,,,,,
13103,aː,t,m,ə,v,i,ɕ,v,aː,s,,,,,,,,,,,,
13104,s,u,c,c,e,s,s,,,,,,,,,,,,,,,
13105,p,r,o,p,e,r,,,,,,,,,,,,,,,,
13106,l,e,a,d,i,n,g,,,,,,,,,,,,,,,
13107,h,o,t,,,,,,,,,,,,,,,,,,,
13108,a,d,v,a,n,c,e,d,,,,,,,,,,,,,,
13109,ɕ,ə,k,t,i,ɕ,aː,l,iː,,,,,,,,,,,,,
13110,p,ə,s,ə,n,t,iː,,,,,,,,,,,,,,,
13111,p,r,ə,t,i,ʂ,ʈʰ,i,t,,,,,,,,,,,,,
13112,o,ɖ̤,,,,,,,,,,,,,,,,,,,,
13113,m,o,r,a,l,i,t,y,,,,,,,,,,,,,,
13114,e,a,s,y,,,,,,,,,,,,,,,,,,
13115,c,o,r,r,e,c,t,l,y,,,,,,,,,,,,,
13116,s,u,b,o,d̤,,,,,,,,,,,,,,,,,
13117,s,u,d̤,aː,r,i,t,,,,,,,,,,,,,,,
13118,s,aː,d̤,ə,k,,,,,,,,,,,,,,,,,
13119,v,i,d̤,aː,j,ə,k,,,,,,,,,,,,,,,
13120,t͡ɕʰ,aː,p,,,,,,,,,,,,,,,,,,,
13121,s,u,p,p,o,r,t,s,,,,,,,,,,,,,,
13122,ɕ,u,b̤,,,,,,,,,,,,,,,,,,,
13123,u,d,aː,r,,,,,,,,,,,,,,,,,,
13124,aː,n,ə,n,d,aː,n,e,,,,,,,,,,,,,,
13125,w,i,n,,,,,,,,,,,,,,,,,,,
13126,a,w,a,r,d,,,,,,,,,,,,,,,,,
13127,v,i,ɕ,v,aː,s,uː,,,,,,,,,,,,,,,
13128,b̤,ə,r,b̤,ə,r,aː,ʈ,,,,,,,,,,,,,,
13129,pʰ,aː,j,d,e,,,,,,,,,,,,,,,,,
13130,p,uː,r,ə,k,,,,,,,,,,,,,,,,,
13131,p,ə,r,m,aː,n,ə,n,d,ə,,,,,,,,,,,,
13132,u,t,s,aː,ɦ,,,,,,,,,,,,,,,,,
13133,ɕ,o,b̤,aː,,,,,,,,,,,,,,,,,,
13134,m,ə,n,aː,p,aː,s,uː,n,,,,,,,,,,,,,
13135,ɡ,o,l,ɖ,ə,n,,,,,,,,,,,,,,,,
13136,s,t,ə,r,aː,v,r,iː,l,,,,,,,,,,,,,
13137,s,u,k,ə,r,,,,,,,,,,,,,,,,,
13138,v,æː,b̤,ə,v,,,,,,,,,,,,,,,,,
13139,n,i,ʂ,ʈʰ,aː,,,,,,,,,,,,,,,,,
13140,n,i,t,aː,n,t,ə,,,,,,,,,,,,,,,
13141,b̤,ə,v,i,ʂ,j,ə,,,,,,,,,,,,,,,
13142,p,r,ə,v,r̩,t,t,ə,,,,,,,,,,,,,,
13143,p,aː,r,ə,ŋ,ɡ,ə,t,,,,,,,,,,,,,,
13144,t,aː,b,ɖ,ə,t,o,b,,,,,,,,,,,,,,
13145,u,l,ɦ,aː,s,,,,,,,,,,,,,,,,,
13146,r,e,l,i,a,b,l,e,,,,,,,,,,,,,,
13147,r,e,c,o,m,m,e,n,d,e,d,,,,,,,,,,,
13148,a,w,a,r,d,e,d,,,,,,,,,,,,,,,
13149,s,u,ɕ,i,k,ɕ,i,t,,,,,,,,,,,,,,
13150,m,aː,pʰ,iː,,,,,,,,,,,,,,,,,,
13151,d,aː,ɡ,i,n,e,,,,,,,,,,,,,,,,
13152,w,i,n,n,i,n,g,,,,,,,,,,,,,,,
13153,p,o,s,i,t,i,v,e,,,,,,,,,,,,,,
13154,s,u,p,iː,k,,,,,,,,,,,,,,,,,
13155,v,i,ɕ,r,aː,n,t,iː,,,,,,,,,,,,,,
13156,v,ə,s,uː,l,,,,,,,,,,,,,,,,,
13157,p,r,aː,m,aː,ɳ,i,k,,,,,,,,,,,,,,
13158,t͡ɕ,ə,m,ə,k,,,,,,,,,,,,,,,,,
13159,æː,k,j,ə,,,,,,,,,,,,,,,,,,
13160,b,e,n,e,f,i,t,,,,,,,,,,,,,,,
13161,a,t,t,r,a,c,t,i,o,n,,,,,,,,,,,,
13162,m,aː,n,j,ə,t,aː,p,r,aː,p,t,ə,,,,,,,,,
13163,k,aː,r,j,ə,k,ɕ,ə,m,t,aː,,,,,,,,,,,
13164,s,u,c,c,e,s,s,f,u,l,l,y,,,,,,,,,,
13165,r,e,f,o,r,m,s,,,,,,,,,,,,,,,
13166,p,r,o,t,e,c,t,i,o,n,,,,,,,,,,,,
13167,g,a,i,n,e,d,,,,,,,,,,,,,,,,
13168,s,ə,n,v,e,d,n,ə,ɕ,iː,l,,,,,,,,,,,
13169,aː,b̤,aː,r,,,,,,,,,,,,,,,,,,
13170,e,a,s,i,e,r,,,,,,,,,,,,,,,,
13171,ɦ,ə,m,iː,,,,,,,,,,,,,,,,,,
13172,a,s,s,ə,l,,,,,,,,,,,,,,,,,
13173,r,aː,kʰ,l,e,,,,,,,,,,,,,,,,,
13174,p,r,ə,ɕ,ə,n,s,aː,,,,,,,,,,,,,,
13175,t͡ɕ,ə,m,k,ə,d,aː,r,,,,,,,,,,,,,,
13176,ɡ,ə,m,m,ə,t,,,,,,,,,,,,,,,,
13177,s,i,d,d̤,iː,,,,,,,,,,,,,,,,,
13178,s,ə,r,v,ə,s,m,aː,v,e,ɕ,ə,k,,,,,,,,,
13179,n,i,r,d,o,ʂ,,,,,,,,,,,,,,,,
13180,w,e,l,c,o,m,e,,,,,,,,,,,,,,,
13181,p,r,o,p,e,r,l,y,,,,,,,,,,,,,,
13182,s,u,s,ə,n,s,k,r̩,t,,,,,,,,,,,,,
13183,s,ə,m,t,o,l,,,,,,,,,,,,,,,,
13184,v,i,l,aː,s,,,,,,,,,,,,,,,,,
13185,b̤,aː,ɡ,j,ə,,,,,,,,,,,,,,,,,
13186,b̤,ə,l,e,,,,,,,,,,,,,,,,,,
13187,p,r,ə,t,i,ʂ,ʈʰ,aː,,,,,,,,,,,,,,
13188,e,k,t,aː,,,,,,,,,,,,,,,,,,
13189,w,o,r,k,e,d,,,,,,,,,,,,,,,,
13190,s,u,p,p,o,r,t,i,n,g,,,,,,,,,,,,
13191,s,u,f,f,i,c,i,e,n,t,,,,,,,,,,,,
13192,p,r,o,m,i,n,e,n,t,,,,,,,,,,,,,
13193,s,aː,ɦ,s,iː,,,,,,,,,,,,,,,,,
13194,s,ə,m,r̩,d,d̤,iː,,,,,,,,,,,,,,,
13195,s,ə,n,v,e,d,n,aː,,,,,,,,,,,,,,
13196,s,ə,n,t,u,l,i,t,,,,,,,,,,,,,,
13197,ɕ,ɔː,r,j,ə,,,,,,,,,,,,,,,,,
13198,b̤,ə,r,ɡ̤,o,s,,,,,,,,,,,,,,,,
13199,u,t,s,aː,ɦ,iː,,,,,,,,,,,,,,,,
13200,a,d,v,i,t,iː,j,,,,,,,,,,,,,,,
13201,d,e,f,e,a,t,e,d,,,,,,,,,,,,,,
13202,b,ə,t͡ɕ,ə,t,,,,,,,,,,,,,,,,,
13203,n,i,r,o,ɡ,iː,,,,,,,,,,,,,,,,
13204,t͡ɕ,ə,t,u,r,,,,,,,,,,,,,,,,,
13205,r,i,c,h,,,,,,,,,,,,,,,,,,
13206,h,u,m,o,u,r,,,,,,,,,,,,,,,,
13207,g,o,l,d,,,,,,,,,,,,,,,,,,
13208,f,a,i,r,l,y,,,,,,,,,,,,,,,,
13209,c,l,e,a,r,l,y,,,,,,,,,,,,,,,
13210,s,ə,ɦ,ə,d͡ʑ,ə,t,e,n,e,,,,,,,,,,,,
13211,ɕ,r,e,j,s,k,ə,r,,,,,,,,,,,,,,
13212,j,ə,ɕ,ə,s,v,iː,r,i,t,j,aː,,,,,,,,,,
13213,b,ə,k,ɕ,iː,s,,,,,,,,,,,,,,,,
13214,t,aː,t,ɖ,iː,n,e,,,,,,,,,,,,,,,
13215,d͡ʑ,aː,d,uː,,,,,,,,,,,,,,,,,,
13216,t͡ɕ,aː,ɦ,t,e,,,,,,,,,,,,,,,,,
13217,v,i,c,t,o,r,y,,,,,,,,,,,,,,,
13218,r,e,a,d,y,,,,,,,,,,,,,,,,,
13219,g,r,e,a,t,e,s,t,,,,,,,,,,,,,,
13220,f,a,s,t,,,,,,,,,,,,,,,,,,
13221,s,ə,b̤,j,ə,t,aː,,,,,,,,,,,,,,,
13222,m,o,ɦ,ə,k,,,,,,,,,,,,,,,,,
13223,b,u,d,d̤,i,m,aː,n,,,,,,,,,,,,,,
13224,aː,n,ə,n,d,iː,,,,,,,,,,,,,,,,
13225,h,e,l,p,i,n,g,,,,,,,,,,,,,,,
13226,f,r,i,e,n,d,l,y,,,,,,,,,,,,,,
13227,e,f,f,e,c,t,i,v,e,,,,,,,,,,,,,
13228,d,o,m,i,n,a,t,e,d,,,,,,,,,,,,,
13229,c,o,n,t,r,i,b,u,t,i,o,n,,,,,,,,,,
13230,s,u,s,ə,ŋ,ɡ,ə,t,,,,,,,,,,,,,,
13231,m,aː,r,m,i,k,,,,,,,,,,,,,,,,
13232,b,aː,n,d̤,i,l,k,iː,,,,,,,,,,,,,,
13233,n,i,r,m,ə,ɭ,ə,,,,,,,,,,,,,,,
13234,d͡ʑ,ə,v,ə,ɭ,iː,k,,,,,,,,,,,,,,,
13235,aː,b̤,aː,s,,,,,,,,,,,,,,,,,,
13236,a,b̤,uː,t,p,uː,r,v,ə,,,,,,,,,,,,,
13237,a,k,ɕ,ə,r,ə,ɕ,ə,,,,,,,,,,,,,,
13238,s,e,n,s,i,t,i,v,e,,,,,,,,,,,,,
13239,s,v,ə,r,ɡ,ə,,,,,,,,,,,,,,,,
13240,s,u,v,aː,s,i,k,,,,,,,,,,,,,,,
13241,l,ə,v,ə,t͡ɕ,i,k,,,,,,,,,,,,,,,
13242,b,ə,l,v,aː,n,,,,,,,,,,,,,,,,
13243,p,r,aː,b,l,j,ə,,,,,,,,,,,,,,,
13244,d̤,æː,r,j,ə,,,,,,,,,,,,,,,,,
13245,d̤,aː,r,d,aː,r,,,,,,,,,,,,,,,,
13246,t,ə,r,k,ə,ɕ,u,d,d̤,ə,,,,,,,,,,,,
13247,ʈ,i,k,aː,v,,,,,,,,,,,,,,,,,
13248,a,p,v,aː,d,aː,t,m,ə,k,,,,,,,,,,,,
13249,a,d̤,j,aː,t,m,i,k,,,,,,,,,,,,,,
13250,g,a,i,n,,,,,,,,,,,,,,,,,,
13251,c,o,n,v,e,n,i,e,n,c,e,,,,,,,,,,,
13252,a,d,v,a,n,t,a,g,e,,,,,,,,,,,,,
13253,t,iː,k,ɕ,ɳ,ə,,,,,,,,,,,,,,,,
13254,t͡ɕ,ə,k,i,t,,,,,,,,,,,,,,,,,
13255,ɡ,u,ɭ,ə,ɡ,u,ɭ,iː,t,,,,,,,,,,,,,
13256,k,iː,r,t,i,,,,,,,,,,,,,,,,,
13257,æː,ɕ,v,ə,r,j,ə,,,,,,,,,,,,,,,
13258,u,b,d,aː,r,,,,,,,,,,,,,,,,,
13259,u,t,s,aː,ɦ,aː,n,e,,,,,,,,,,,,,,
13260,s,u,c,c,e,e,d,e,d,,,,,,,,,,,,,
13261,c,o,m,p,r,e,h,e,n,s,i,v,e,,,,,,,,,
13262,s,ə,m,r,p,i,t,,,,,,,,,,,,,,,
13263,ɕ,i,s,t,ə,b,d,d̤,ə,,,,,,,,,,,,,
13264,ɕ,aː,n,t,p,ə,ɳ,e,,,,,,,,,,,,,,
13265,p,u,n,r,r,ə,t͡ɕ,ə,n,aː,,,,,,,,,,,,
13266,n,ə,r,ə,m,,,,,,,,,,,,,,,,,
13267,k,ɔː,ɕ,ə,l,j,aː,n,e,,,,,,,,,,,,,
13268,k,r̩,t,ə,ɡ,ɲ,ə,t,aː,,,,,,,,,,,,,
13269,u,t,k,ə,ʈ,,,,,,,,,,,,,,,,,
13270,s,i,l,e,n,t,,,,,,,,,,,,,,,,
13271,r,o,m,a,n,t,i,c,,,,,,,,,,,,,,
13272,p,r,e,t,t,y,,,,,,,,,,,,,,,,
13273,p,r,e,f,e,r,,,,,,,,,,,,,,,,
13274,i,n,t,e,r,e,s,t,i,n,g,,,,,,,,,,,
13275,i,n,t,e,l,l,i,g,e,n,c,e,,,,,,,,,,
